cycle,S,E,I,R
0,0.999,0.0,0.001,0.0
1,0.9985228561239428,0.0004051871682663,0.00093559570964544,0.00013636099814592
2,0.9980478253967721,0.00069536045016077,0.0009848950803664,0.00027191907270124
3,0.9975290017093708,0.00094172697136439,0.00110946173694206,0.00041980958232271
4,0.9969337961204773,0.0011842628313954,0.00129258274550383,0.00058935830262334
5,0.9962348173185732,0.00144734986733031,0.00152942263164578,0.00078841018245103
6,0.9954053497561791,0.00174798130886345,0.00182203757977975,0.0010246313551773
7,0.9944166402833045,0.0021001353389509,0.00217692759859296,0.00130629677915134
8,0.9932360605674726,0.00251718108557156,0.00260392637731544,0.00164283196964053
9,0.9918256555552497,0.00301328358311798,0.00311580956916427,0.00204525129246793
10,0.9901408183182624,0.00360430832836715,0.00372830299548173,0.0025265703578887
11,0.9881289525885588,0.00430848319337127,0.00446032751877121,0.00310223669929866
12,0.9857280502200352,0.00514694728141352,0.00533439668671275,0.00379060581183907
13,0.9828651503529532,0.00614424640148135,0.00637712251891253,0.00461348072665371
14,0.9794546758810616,0.00732879356995777,0.00761980223348344,0.00559672831549835
15,0.9753966701061098,0.00873328450819025,0.00909906333248708,0.00677098205321411
16,0.970574988235702,0.01039503378436286,0.01085754045909283,0.00817243752084316
17,0.9648555391516932,0.01235617206385701,0.01294454637146453,0.00984374241298642
18,0.9580847263124173,0.01466361602654162,0.0154166814222159,0.01183497623882672
19,0.9500883055229612,0.01736868860200684,0.01833830060523903,0.01420470526979484
20,0.9406709627900862,0.02052622872451149,0.02178172398248319,0.01702108450292125
21,0.9296170157274052,0.02419298975818201,0.02582703516495766,0.02036295934945745
22,0.9166927498607806,0.0284250907529596,0.03056126499094075,0.02432089439532138
23,0.9016510011932664,0.03327426674231856,0.03607670778873178,0.02899802427568544
24,0.8842386610661889,0.03878268221132992,0.04246807402181926,0.0345105827006639
25,0.8642077662990554,0.04497615189750438,0.04982816000148854,0.04098792180195376
26,0.8413306891848488,0.05185578694812597,0.05824173424424273,0.04857178962278486
27,0.8154195912341554,0.05938838254841573,0.06777742951234916,0.05741459670508192
28,0.7863496919016412,0.06749630056960708,0.07847762184883139,0.06767638567992251
29,0.7540850070815239,0.07604815530841484,0.09034660037046466,0.0795202372395984
30,0.7187040915608808,0.08485219570985708,0.10333779152078756,0.09310592120847613
31,0.6804221608501384,0.09365472344651152,0.11734136538126767,0.10858175032208402
32,0.6396051033954536,0.10214594645813657,0.13217412469312526,0.12607482545328605
33,0.5967707617671238,0.10997507806638662,0.14757399561105694,0.14568016455543445
34,0.5525738714106987,0.11677509080113535,0.16320149133581957,0.1674495464523479
35,0.5077733690847317,0.12219541453575505,0.17865000868531247,0.1913812076942023
36,0.4631841413039128,0.12593848349187986,0.19346565752225997,0.21741171768194878
37,0.4196188767686797,0.1277941519076311,0.20717563373671033,0.2454113375869803
38,0.3778283873940932,0.12766543429842764,0.21932228795605715,0.27518389035142327
39,0.3384495534656656,0.1255802639105699,0.22949853751858712,0.3064716451051788
40,0.3019685179796363,0.12168682219751036,0.2373796215161949,0.3389650383066597
41,0.26870334838073434,0.11623361458476715,0.24274667556498356,0.37231636146951647
42,0.2388062297917698,0.10953866612116547,0.2454991046865952,0.40615599940047115
43,0.2122816525042263,0.1019540031217574,0.24565482307757366,0.440109521296444
44,0.18901492750533877,0.09383160480537861,0.2433395164082292,0.4738139512810547
45,0.16880495596815395,0.08549556078099313,0.2387676486104129,0.5069318346404412
46,0.151396138456596,0.0772229838694165,0.23221870461290348,0.5391621730610852
47,0.13650598279674447,0.0692340720032786,0.22401213563846573,0.5702478095615127
48,0.1238467233212012,0.06169011374249717,0.21448386179129428,0.5999793011450085
49,0.11314068177726866,0.05469737954911196,0.20396627738647696,0.6281956612871432
50,0.10413001893921432,0.04831465621854623,0.19277276211316607,0.6547825627290739
51,0.0965819728316047,0.04256244894104723,0.1811869049397124,0.679668673287636
52,0.09029077632321154,0.03743236120516905,0.1694560807576361,0.7028207817139839
53,0.08507733369212162,0.03289568615643786,0.15778868892650774,0.7242382912249332
54,0.08078752790697244,0.02891069608631916,0.14635422936354486,0.7439475466431642
55,0.07728980470283868,0.02542845487358352,0.13528539903155742,0.761996341392022
56,0.07447247787889516,0.02239719915975441,0.12468148401977362,0.7784488389415785
57,0.07224103929986883,0.01976545733217316,0.114612454914157,0.7933810484538025
58,0.07051563853564237,0.01748412755307372,0.10512331430935634,0.8068769196019293
59,0.06922881531712904,0.01550774219010182,0.09623837596964442,0.8190250665231266
60,0.06832351498947471,0.01379512601819802,0.08796526571917433,0.8299160932731546
61,0.06775138505255715,0.01230962356677863,0.08029852158476103,0.8396404697959049
62,0.06747133313204605,0.01101903595721287,0.07322273592017671,0.8482868949905663
63,0.06744831832031845,0.00989537461234212,0.06671522812219743,0.8559410789451444
64,0.06765234518817513,0.00891451076341409,0.06074826676222354,0.8626848772861896
65,0.06805763046217625,0.00805577650880045,0.05529087814500314,0.8685957148840223
66,0.0686419148045793,0.00730155513121514,0.05031028770174446,0.8737462423624631
67,0.06938589533665324,0.00663688483420336,0.04577304389907925,0.8782041759300665
68,0.0702727579272241,0.00604909022870154,0.04164587358761886,0.882032278256458
69,0.071287791503371,0.00552744900297684,0.03789631448945821,0.8852884450041963
70,0.07241806956927206,0.00506289654492359,0.03449316595800909,0.8880258679277979
71,0.0736521866804963,0.00464776827079073,0.03140679401240551,0.8902932510363105
72,0.0749800398087931,0.00427557758357464,0.02860932146301658,0.8921350611446184
73,0.07639264637058213,0.00394082637932455,0.02607472901985777,0.893591798230238
74,0.07788199221847719,0.00363884457255802,0.02377888878899626,0.8947002744199709
75,0.07944090415121129,0.00336565502752688,0.02169954759567104,0.8954938932255934
76,0.08106294252437711,0.00311786042119373,0.01981627414678808,0.8960029229076439
77,0.08274231038015416,0.00289254882998693,0.01811038114093692,0.8962547596489245
78,0.08447377619186906,0.00268721516056682,0.01656483101011255,0.8962741776374538
79,0.08625260786732572,0.00249969589246597,0.01516413198193941,0.8960835642582712
80,0.08807451609733077,0.00232811494106572,0.01389422952882274,0.8957031394327835
81,0.08993560549269587,0.00217083876751359,0.01274239696656695,0.8951511587732263
82,0.09183233224063501,0.00202643914990731,0.0116971279288075,0.8944441006806528
83,0.09376146724332202,0.0018936622842962,0.01074803262942756,0.8935968378429573
84,0.09572006388834295,0.00177140310477758,0.00988573919295243,0.89262279381393
85,0.09770542975169395,0.00165868390101769,0.00910180084835512,0.8915340854989361
86,0.09971510165595632,0.00155463647170221,0.00838860941570449,0.8903416524566395
87,0.10174682360505216,0.00145848718694868,0.00773931524339716,0.8890553739646045
88,0.1037985271971337,0.00136954444488906,0.00714775355634114,0.8876841748016384
89,0.10586831418237097,0.00128718810061793,0.00660837703607372,0.8862361206809397
90,0.10795444088561494,0.00121086052240542,0.00611619435919018,0.8847185042327914
91,0.11005530425748271,0.00114005899309063,0.00566671436003318,0.8831379223893958
92,0.11216942935321167,0.00107432922617202,0.00525589544891509,0.8815003459717033
93,0.11429545806817552,0.00101325980825203,0.00488009990156166,0.8798111822220125
94,0.11643213898342607,0.00095647741383573,0.00453605263376575,0.8780753309689743
95,0.11857831819500611,0.0009036426664279,0.00422080408338445,0.8762972350551834
96,0.12073293101781371,0.00085444654258665,0.0039316968366931,0.8744809256029084
97,0.12289499446911871,0.00080860723404278,0.00366633565536486,0.8726300626414755
98,0.12506360044892606,0.00076586739798064,0.00342256058219719,0.8707479715708983
99,0.12723790954464248,0.00072599173775215,0.00319842282684381,0.8688376758907638
100,0.12941714539625654,0.0006887648661954,0.00299216315627511,0.8669019265812755
101,0.13160058956574236,0.00065398941178791,0.0028021925378031,0.8649432284846695
102,0.1337875768608614,0.00062148433443483,0.0026270748048015,0.8629638639999055
103,0.13597749106911633,0.00059108342305989,0.00246551113642134,0.8609659143714052
104,0.1381697610624698,0.00056263395156282,0.00231632616246104,0.858951278823509
105,0.14036385723767267,0.00053599547331693,0.00217845552300167,0.8569216917660119
106,0.14255928826075534,0.00051103873735487,0.00205093472942952,0.854878738272463
107,0.14475559808748922,0.00048764471184987,0.00193288918905517,0.8528238680116087
108,0.14695236323450528,0.00046570370254154,0.00182352526974425,0.8507584077932122
109,0.14914919027829165,0.00044511455545627,0.00172212229386961,0.8486835728723855
110,0.15134571356154952,0.00042578393469787,0.00162802536255452,0.846600477141201
111,0.1535415930883904,0.00040762566728184,0.00154063892169034,0.8445101423226412
112,0.15573651259164553,0.0003905601479998,0.00145942099066779,0.8424135062696907
113,0.15793017775715537,0.00037451379816098,0.00138387798324755,0.8403114304614401
114,0.1601223145913336,0.00035941857279144,0.00131356005759936,0.8382047067782792
115,0.16231266791958776,0.00034521151150173,0.00124805693934082,0.8360940636295732
116,0.16450100000432352,0.00033183432877587,0.00118699416748496,0.833980171499419
117,0.16668708927230005,0.00031923303990433,0.00113002971863126,0.8318636479691676
118,0.16887072914203677,0.00030735761919203,0.00107685096957365,0.8297450622692009
119,0.1710517269428118,0.00029616168742902,0.0010271719628123,0.8276249394069501
120,0.17322990291755205,0.00028560222592414,0.00098073094329867,0.8255037639132283
121,0.17540508930260684,0.00027563931467704,0.00093728813816547,0.8233819832445541
122,0.17757712947801071,0.00026623589250707,0.00089662375423991,0.8212600108752462
123,0.17974587718241233,0.00025735753717281,0.0008585361708507,0.8191382291095676
124,0.1819111957873497,0.00024897226370727,0.00082284030785357,0.8170169916410933
125,0.18407295762601847,0.00024105033936431,0.0007893661509486,0.8148966258836723
126,0.1862310433721004,0.00023356411372421,0.00075795741827552,0.8127774350959033
127,0.18838534146459698,0.00022648786264258,0.00072847035397588,0.8106597003187886
128,0.19053574757496505,0.00021979764484899,0.00070077263592726,0.8085436821442631
129,0.19268216411316388,0.00021347117011203,0.00067474238620488,0.8064296223305232
130,0.19482449976949642,0.00020748767798602,0.00065026727402928,0.8043177452784922
131,0.19696266908943147,0.00020182782624415,0.00062724370203005,0.8022082593822986
132,0.19909659207877284,0.0001964735881833,0.00060557606761203,0.8001013582654367
133,0.20122619383679854,0.00019140815805855,0.00058517609206196,0.7979972219130865
134,0.20335140421518183,0.00018661586397155,0.00056596221079402,0.7958960177100579
135,0.205472157500678,0.00018208208759629,0.000547859018811,0.7937979013929201
136,0.20758839211973437,0.00017779319018021,0.00053079676606402,0.7917030179240264
137,0.20970005036332517,0.00017373644430772,0.00051471089793447,0.7896115022944377
138,0.21180707813045274,0.00016989997095767,0.00049954163654588,0.7875234802620492
139,0.2139094246888821,0.00016627268142697,0.00048523359904555,0.7854390690306512
140,0.21600704245178692,0.00016284422372958,0.00047173544938316,0.7833583778751064
141,0.2180998867690944,0.00015960493311345,0.00045899958045935,0.7812815087173384
142,0.22018791573240734,0.00015654578636857,0.00044698182382802,0.7792085566574016
143,0.22227108999247266,0.00015365835962755,0.00043564118441359,0.777139610463492
144,0.22434937258824486,0.00015093478938493,0.00042493959795392,0.7750747530244217
145,0.2264227287866637,0.00014836773648511,0.00041484170910299,0.773014061767754
146,0.22849112593233661,0.0001459503528497,0.00040531466832839,0.7709576090464912
147,0.2305545333063743,0.00014367625073449,0.00039632794591843,0.7689054624969783
148,0.23261292199368638,0.00014153947432376,0.00038785316157614,0.7668576853704191
149,0.23466626475809255,0.00013953447348607,0.00037986392822283,0.7648143368402038
150,0.23671453592465655,0.00013765607953005,0.00037233570876485,0.7627754722870534
151,0.23875771126868944,0.0001358994828125,0.00036524568469538,0.7607411435638077
152,0.24079576791090943,0.00013426021206349,0.00035857263550929,0.7587113992415226
153,0.24282868421828135,0.00013273411530415,0.00035229682800479,0.7566862848384149
154,0.24485643971009483,0.00013131734224376,0.00034639991463231,0.754665843033035
155,0.24687901496886597,0.00013000632805182,0.00034086484012876,0.7526501138629597
156,0.24889639155568,0.00012879777840976,0.00033567575574598,0.75063913491017
157,0.2509085519296124,0.00012768865575504,0.00033081794044582,0.7486329414741926
158,0.25291547937089615,0.00012667616663767,0.00032627772849196,0.7466315667339803
159,0.2549171579075154,0.00012575775011599,0.00032204244292056,0.744635041899454
160,0.2569135722449366,0.00012493106712508,0.00031810033441931,0.7426433963535249
161,0.2589047076986913,0.00012419399075658,0.00031444052518705,0.740656657785371
162,0.2608905501295558,0.00012354459739435,0.00031105295738514,0.7386748523156705
163,0.26287108588107766,0.0001229811586553,0.00030792834582693,0.7366980046144456
164,0.2648463017192134,0.00012250213408917,0.0003050581345838,0.7347261380121183
165,0.2668161847738598,0.00012210616459553,0.00030243445721536,0.7327592746043337
166,0.268780722482063,0.00012179206651991,0.00030005010035807,0.7307974353510636
167,0.27073990253270774,0.00012155882639504,0.00029789847043049,0.7288406401704713
168,0.27269371281249355,0.00012140559629624,0.00029597356323585,0.726888908027979
169,0.2746421413530098,0.00012133168978359,0.00029426993626238,0.7249422570209488
170,0.27658517627873436,0.00012133657840608,0.00029278268350061,0.7230007044593636
171,0.27852280575578214,0.00012141988874624,0.00029150741261367,0.7210642669428625
172,0.2804550179412373,0.00012158139998618,0.00029044022431207,0.7191329604344691
173,0.28238180093290527,0.00012182104197836,0.00028957769379878,0.7172068003313217
174,0.28430314271932283,0.0001221388938073,0.00028891685416355,0.7152858015327106
175,0.28621903112987296,0.00012253518283008,0.00028845518161739,0.7133699785056846
176,0.28812945378484994,0.00012301028418637,0.0002881905824696,0.7114593453484994
177,0.29003439804531755,0.00012356472077015,0.00028812138175971,0.7095539158521577
178,0.2919338509626106,0.00012419916365793,0.00028824631346686,0.7076537035602687
179,0.29382779922733004,0.00012491443298989,0.0002885645122274,0.7057587218274565
180,0.2957162291176709,0.00012571149930234,0.00028907550650073,0.7038689838765296
181,0.2975991264469396,0.00012659148531188,0.00028977921313044,0.7019845028546216
182,0.29947647651009607,0.00012755566815349,0.00029067593325593,0.700105291888498
183,0.30134826402916864,0.00012860548207657,0.00029176634953599,0.6982313641392217
184,0.3032144730973761,0.00012974252160474,0.00029305152465315,0.6963627328563688
185,0.3050750871217973,0.00013096854516716,0.00029453290107324,0.6944994114319649
186,0.30693008876441497,0.00013228547921099,0.00029621230204124,0.6926414134543359
187,0.30877945988136285,0.00013369542280618,0.00029809193379989,0.6907887527620346
188,0.31062318146019746,0.00013520065275609,0.00030017438902335,0.6889414434980264
189,0.31246123355500494,0.00013680362922902,0.00030246265146364,0.6870995001643053
190,0.31429359521915773,0.00013850700192783,0.00030496010181284,0.6852629376771048
191,0.3161202444355144,0.0001403136168168,0.00030767052478943,0.6834317714228823
192,0.31794115804385914,0.00014222652342703,0.00031059811746217,0.6816060173152545
193,0.31975631166536145,0.00014424898276371,0.00031374749883011,0.679785691853047
194,0.32156567962382954,0.00014638447584074,0.00031712372068253,0.6779708121796493
195,0.32336923486352054,0.00014863671287079,0.00032073227976765,0.6761613961438434
196,0.325166948863256,0.00015100964314092,0.00032457913130422,0.6743574623623015
197,0.3269587915465828,0.00015350746560652,0.00032867070387523,0.6725590302839382
198,0.3287447311877043,0.000156134640239,0.00033301391574863,0.6707661202563104
199,0.330524734312889,0.00015889590016529,0.00033761619267498,0.6689787535942734
200,0.332298765597056,0.00016179626464009,0.00034248548721796,0.6671969526510881
201,0.3340667877552126,0.00016484105289479,0.00034763029967916,0.6654207408922149
202,0.3358287614284047,0.00016803589891013,0.0003530597006847,0.6636501429720028
203,0.33758464506382163,0.0001713867671631,0.00035878335550725,0.6618851848135108
204,0.33933439478868027,0.00017489996940167,0.0003648115502036,0.6601258936917179
205,0.34107796427748305,0.00017858218250519,0.00037115521965424,0.6583722983203609
206,0.34281530461223103,0.00018244046749143,0.00037782597759881,0.6566244289426822
207,0.3445463641351422,0.00018648228973604,0.00038483614876809,0.6548823174263567
208,0.346271088293403,0.00019071554047366,0.000392198803221,0.6531459973629056
209,0.3479894194754513,0.00019514855965508,0.00039992779300283,0.651415504171894
210,0.34970129683826345,0.00019979016023916,0.00040803779124936,0.6496908752102505
211,0.3514066561250785,0.0002046496540032,0.00041654433387008,0.6479721498870508
212,0.3531054294729695,0.00020973687896081,0.00042546386395284,0.6462593697841184
213,0.3547975452096342,0.00021506222848165,0.00043481377904185,0.6445525787828449
214,0.3564829276387312,0.00022063668221314,0.0004446124814509,0.6428518231976074
215,0.35816149681306586,0.00022647183891033,0.00045487943178424,0.6411571519162419
216,0.35983316829486994,0.00023257995128629,0.00046563520584842,0.639468616547998
217,0.36149785290239067,0.00023897396300213,0.00047690155515022,0.6377862715794597
218,0.36315545644194663,0.00024566754792239,0.00048870147118748,0.6361101745389466
219,0.3648058794245684,0.00025267515176886,0.00050105925375277,0.6344403861699125
220,0.3664490167662844,0.0002600120363134,0.00051400058348267,0.6327769706139222
221,0.3680847574710596,0.00026769432625791,0.00052755259889966,0.6311199956037862
222,0.3697129842953381,0.00027573905895764,0.00054174397820763,0.6294695326675004
223,0.3713335733930831,0.00028416423715259,0.00055660502611767,0.6278256573436508
224,0.3729463939401355,0.00029298888487983,0.00057216776599576,0.6261884494089925
225,0.3745513077366646,0.0003022331067489,0.00058846603764107,0.6245579931189489
226,0.37614816878639035,0.00031191815077085,0.00060553560101969,0.6229343774618223
227,0.37773682285121,0.00032206647494118,0.00062341424629659,0.6213176964275545
228,0.3793171069797674,0.0003327018177858,0.00064214191052641,0.6197080492919231
229,0.38088884900843656,0.00034384927308857,0.00066176080138202,0.6181055409170957
230,0.38245186703310413,0.00035553536902842,0.00068231552831905,0.6165102820695506
231,0.3840059688500557,0.00036778815196307,0.00070385324159346,0.61492238975639
232,0.3855509513641804,0.00038063727510547,0.00072642377956907,0.6133419875811467
233,0.38708659996262074,0.00039411409234783,0.00075007982477147,0.611769206120262
234,0.3886126878519026,0.00040825175749632,0.00077487706916466,0.6102041833214383
235,0.39012897535649377,0.00042308532918707,0.00080087438914601,0.6086470649251752
236,0.391635209176629,0.00043865188176107,0.00082813403077461,0.6070980049108375
237,0.3931311216031627,0.00045499062238119,0.00085672180576654,0.6055571659686914
238,0.3946164296871036,0.00047214301467903,0.00088670729880832,0.6040247199994112
239,0.3960908343613885,0.00049015290922235,0.00091816408675627,0.6025008486426345
240,0.39755401951237307,0.00050906668109433,0.00095116997030443,0.6009857438362303
241,0.39900565099840757,0.00052893337487487,0.00098580721871654,0.5994796084080033
242,0.40044537561279264,0.00054980485730969,0.00102216282822767,0.5979826567016724
243,0.40187281998832475,0.00057173597794517,0.00106032879472821,0.596495115239004
244,0.4032875894405645,0.00059478473799571,0.00110040240134608,0.5950172234200959
245,0.404689266746899,0.00061901246769377,0.00114248652154114,0.5935492342638679
246,0.4060774108584164,0.00064448401235147,0.00118668993831888,0.5920914151909157
247,0.407451555541573,0.00067126792733454,0.00123312768015615,0.5906440488509387
248,0.40881120794661235,0.00069943668211439,0.00128192137420989,0.5892074339970652
249,0.41015584709969893,0.0007290668735204,0.00133319961734867,0.5877818864094334
250,0.4114849223157542,0.00076023944826169,0.00138709836550466,0.5863677398704803
251,0.41279785152904314,0.00079303993472298,0.001443761341789,0.584965347194446
252,0.4140940195386574,0.00082755868396291,0.00150334046374428,0.5835750813136364
253,0.41537277616616564,0.00086389111975171,0.00156599629002147,0.5821973364240621
254,0.4166334343229053,0.00090213799737806,0.00163189848666358,0.5808325291930541
255,0.4178752679846172,0.00094240567082927,0.0017012263130501,0.5794811000315037
256,0.4190975100714464,0.00098480636780237,0.00177416912740386,0.578143514433347
257,0.4202993502317076,0.00102945847183427,0.00185092691158007,0.5768202643848779
258,0.4214799325282924,0.00107648681064341,0.00193171081464297,0.5755118698464212
259,0.42263835302716424,0.00112602294955036,0.00201674371448467,0.5742188803088013
260,0.42377365728806843,0.00117820548858788,0.00210626079644818,0.572941876426896
261,0.42488483775839747,0.00123318036161776,0.00220051014757739,0.5716814717324075
262,0.42597083107210243,0.00129110113543906,0.00229975336472598,0.5704383144277326
263,0.4270305152566568,0.00135212930649625,0.00240426617430742,0.5692130892625397
264,0.42806270685237485,0.00141643459237167,0.0025143390609552,0.5680065194942988
265,0.4290661579498794,0.00148419521477104,0.00263027790177625,0.566819368933574
266,0.43003955315323183,0.00155559817017868,0.00275240460221766,0.5656524440743728
267,0.4309815064782033,0.00163083948376645,0.00288105772881552,0.5645065963092158
268,0.4318905581973975,0.00171012444148346,0.00301659313325071,0.5633827242278683
269,0.4327651716464702,0.00179366779452792,0.00315938456118899,0.5622817759978129
270,0.43360373000854247,0.00188169392960481,0.00330982423832519,0.5612047518235277
271,0.4344045330971136,0.00197443699750119,0.00346832342487449,0.5601527064805105
272,0.43516579416135537,0.00207214099156206,0.00363531292845125,0.5591267519186315
273,0.4358856367416553,0.00217505976662443,0.0038112435638391,0.5581280599278811
274,0.43656209160768605,0.00228345698786563,0.00399658654658056,0.5571578648578679
275,0.43719309381613236,0.00239760599784779,0.00419183380559418,0.5562174663804252
276,0.43777647993053026,0.00251778958879976,0.00439749819816135,0.5553082322825081
277,0.43830998545146277,0.00264429966587869,0.00461411360861144,0.5544316012740466
278,0.4387912425116347,0.00277743678581015,0.00484223490987869,0.5535890857926762
279,0.4392177778970911,0.00291750955393487,0.00508243776481284,0.5527822747841612
280,0.43958701146304635,0.00306483386131551,0.00533531824171253,0.5520128364339255
281,0.4398962550204036,0.00321973194220775,0.00560149221603479,0.5512825208213538
282,0.44014271177703546,0.0033825312309141,0.00588159452764324,0.5505931624644073
283,0.4403234764261674,0.00355356299586062,0.00617627786032764,0.549946682717644
284,0.440435535982679,0.00373316072772321,0.00648621130770725,0.5493450919818903
285,0.4404757714766574,0.00392165825764484,0.00681207858707736,0.5487904916786202
286,0.4404409606219631,0.00411938758110667,0.00715457586034922,0.5482850759365805
287,0.4403277815856628,0.00432667636293294,0.00751440911905579,0.5478311329323473
288,0.4401328179917316,0.00454384509932333,0.00789229108855917,0.5474310458203846
289,0.4398525652990903,0.00477120391383133,0.0082889376052254,0.5470872931818519
290,0.4394834386995074,0.00500904896596974,0.00870506341957719,0.5468024489149448
291,0.4390217826847335,0.0052576584537602,0.00914137737846307,0.5465791814830419
292,0.43846388243398077,0.00551728819519889,0.00959857694028262,0.5464202524305363
293,0.4378059771720351,0.00578816677843562,0.0100773419794928,0.5463285140700352
294,0.4370442756442722,0.00607049027660812,0.01057832784021973,0.5463069062388994
