timestamp,S,timestamp,E,timestamp,I,timestamp,R
0, 0.999,0,0,0, 0.001,0,0
2.09393, 0.998001,0.002002,1E-06,0.00702644, 0.000999,0.00700001,1E-06
8.01039, 0.99322,0.0922903, 4.5099e-05,0.762619, 0.000938471,0.331924, 4.64177e-05
12.9259, 0.983085,0.376807, 0.000172754,1.266, 0.000939696,0.978188, 0.000133434
16.7442, 0.96639,0.761072, 0.000322527,1.94613, 0.000980087,1.72939, 0.00023447
19.927, 0.941365,1.29686, 0.000499487,2.63046, 0.0010561,2.58164, 0.000355828
22.8747, 0.903579,1.79471, 0.000641459,3.53244, 0.00120031,3.56728, 0.000512924
25.745, 0.847288,2.42545, 0.000803208,5.57361, 0.00169052,4.49519, 0.000683914
30.3022, 0.706986,3.1236, 0.000971814,6.57527, 0.0020186,5.42383, 0.000883699
32.2913, 0.626814,3.89001, 0.0011575,7.63081, 0.00243798,6.26871, 0.0010957
34.1114, 0.547073,4.7523, 0.00137981,8.74099, 0.0029755,7.11722, 0.00134299
35.7618, 0.473215,5.77478, 0.0016768,9.85628, 0.00363498,8.01747, 0.00164964
37.4525, 0.399948,6.93826, 0.00207753,10.987, 0.00445186,8.95559, 0.00202633
39.4765, 0.320255,8.19538, 0.00260911,12.1245, 0.00545683,9.91592, 0.00248341
41.8662, 0.242501,9.40096, 0.00323954,13.2716, 0.00669687,10.8833, 0.00303064
42.3255, 0.229696,10.6076, 0.0040193,14.4227, 0.00821835,11.7576, 0.00361359
45.7028, 0.15656,11.7833, 0.00495548,15.5949, 0.0101142,12.6965, 0.00434978
47.7603, 0.126916,12.9462, 0.00609111,16.7817, 0.0124656,13.6725, 0.00525742
49.4451, 0.109122,14.0742, 0.00743002,18.0279, 0.0155021,14.6718, 0.00636517
51.1282, 0.0958558,15.2872, 0.00918848,19.2654, 0.0192108,15.6864, 0.00770966
52.7914, 0.0861812,16.4976, 0.0113402,20.5604, 0.0239862,16.7068, 0.00932752
54.7937, 0.0779952,18.0193, 0.0147225,21.592, 0.0285638,17.6201, 0.0110432
57.2535, 0.0717386,19.1911, 0.0179502,22.9376, 0.0357376,18.6149, 0.0132508
59.4256, 0.0687197,20.5953, 0.0226642,24.5999, 0.0468046,19.6495, 0.0159881
61.673, 0.0673941,22.3811, 0.0302247,26.1699, 0.0598438,20.7148, 0.0193633
65.083, 0.0678753,23.6182, 0.0366302,27.919, 0.0776394,21.7884, 0.0234421
68.4164, 0.0703717,25.2049, 0.0463877,29.8758, 0.10178,22.8931, 0.0284796
72.3685, 0.0750802,26.235, 0.0536265,31.384, 0.123114,23.8791, 0.0338207
77.1516, 0.0824634,28.4609, 0.071502,32.9769, 0.147402,25.0165, 0.041136
82.3223, 0.0917712,30.4029, 0.0886074,34.5654, 0.172174,26.2122, 0.0503791
88.3864, 0.103748,32.2155, 0.10404,36.113, 0.19526,27.4432, 0.0618375
95.9625, 0.119593,34.1571, 0.117826,37.7241, 0.216303,28.822, 0.077371
107.314, 0.144078,35.9837, 0.125935,39.3109, 0.23229,30.268, 0.097175
123.403, 0.178833,38.0685, 0.127547,45.5256, 0.235277,31.9345, 0.125025
148.89, 0.232058,39.3899, 0.124193,47.0397, 0.223291,34.3999, 0.177008
198.29, 0.326014,40.7957, 0.117352,48.8195, 0.205548,36.2354, 0.224148
231.415, 0.381219,42.2579, 0.107371,50.7473, 0.183798,38.1376, 0.279791
252.396, 0.411496,43.0367, 0.101419,53.1336, 0.155967,39.8957, 0.335969
267.809, 0.429491,43.9695, 0.0938755,56.4605, 0.11977,41.6762, 0.395606
279.91, 0.438843,45.7182, 0.0791182,59.0977, 0.0952302,43.5597, 0.459478
290.061, 0.440993,46.485, 0.072974,63.2435, 0.0650974,45.5444, 0.525056
299.456, 0.435604,47.3585, 0.0662286,66.4153, 0.0482806,47.9483, 0.598847
308.886, 0.419999,48.5543, 0.0575686,69.4955, 0.0360873,51.3902, 0.689167
324.642, 0.366282,49.5398, 0.0510573,72.5136, 0.0272037,56.7522, 0.79004
330.876, 0.337453,50.9, 0.0430243,75.2687, 0.0211075,60.5808, 0.835969
337.05, 0.307829,53.2881, 0.0316538,77.8085, 0.0167841,64.4778, 0.865942
343.46, 0.278707,54.4502, 0.0272602,80.439, 0.0133135,68.7511, 0.884951
351.795, 0.247105,55.2386, 0.0246469,83.078, 0.01062,73.7777, 0.895025
359.544, 0.225933,57.6304, 0.0182739,85.7144, 0.0085312,79.5918, 0.89657
369.175, 0.2104,58.6712, 0.0161142,88.4365, 0.00685521,86.8906, 0.890079
377.034, 0.204997,59.4782, 0.0146455,91.2325, 0.00552017,96.2859, 0.87508
385.431, 0.204584,61.7681, 0.0112874,94.1592, 0.00443953,109.579, 0.848952
394.05, 0.208283,62.7666, 0.0101269,97.2145, 0.00357106,130.551, 0.805154
403.738, 0.215853,63.6468, 0.00922589,100.334, 0.00288889,170.919, 0.724086
415.414, 0.227977,65.9225, 0.00733358,103.533, 0.00234915,248.403, 0.59214
428.594, 0.243842,68.6149, 0.00569751,106.795, 0.00192354,270.436, 0.563555
444.664, 0.264401,69.5966, 0.00522053,110.064, 0.00159178,285.205, 0.550093
463.326, 0.287982,70.6886, 0.00474689,113.248, 0.00133741,296.829, 0.545876
481.803, 0.309219,73.5039, 0.00376077,116.326, 0.0011411,307.097, 0.550097
499.598, 0.325948,74.499, 0.00347517,119.353, 0.000984996,318.025, 0.566764
517.258, 0.336869,75.6179, 0.00318543,122.416, 0.00085643,332.785, 0.613263
534.785, 0.339644,79.1029, 0.00245959,125.607, 0.000747254,340.754, 0.647088
568.404, 0.316676,80.0696, 0.00229527,128.888, 0.000655834,348.251, 0.680057
581.424, 0.300182,81.2053, 0.00211879,132.059, 0.000583421,357.229, 0.715674
594.341, 0.283534,82.7709, 0.00190301,135.229, 0.000523629,371.064, 0.753909
610.391, 0.266697,83.8005, 0.00177504,138.411, 0.000473919,382.089, 0.768827
635.131, 0.254562,85.2769, 0.00160983,141.537, 0.000433264,394.035, 0.77284
650.171, 0.254949,86.6175, 0.00147543,144.684, 0.000399134,407.441, 0.767407
665.178, 0.259513,88.1856, 0.00133594,147.787, 0.000371045,423.057, 0.753548
681.663, 0.267552,89.3456, 0.00124255,150.861, 0.000347782,443.465, 0.729879
700.693, 0.27861,90.8638, 0.00113251,154.185, 0.000327005,468.339, 0.699154
723.885, 0.291728,92.2734, 0.00104063,156.946, 0.000312594,495.387, 0.669103
,,93.8134, 0.000951008,160.615, 0.000297251,517.893, 0.650921
,,95.2974, 0.000873359,162.868, 0.000289398,538.719, 0.643675
,,97.0066, 0.000793963,167.281, 0.000278022,565.023, 0.653272
,,98.1114, 0.000747117,169.699, 0.000273558,581.396, 0.669648
,,99.6028, 0.000689626,171.659, 0.000270734,597.228, 0.689077
,,101.146, 0.000635669,173.623, 0.000268716,612.134, 0.706021
,,102.795, 0.000584412,175.676, 0.000267344,635.306, 0.722496
,,104.408, 0.000539048,177.869, 0.000266673,657.832, 0.725238
,,106.068, 0.000497624,180.246, 0.000267086,679.008, 0.719009
,,107.642, 0.000461817,183.001, 0.000268383,703.023, 0.70666
,,109.231, 0.000429513,185.75, 0.000271467,727.855, 0.692779
,,110.755, 0.000401024,189.149, 0.000277287,,
,,112.353, 0.000374358,200.906, 0.000313865,,
,,113.925, 0.00035014,204.279, 0.000330163,,
,,115.545, 0.000327964,207.113, 0.000346332,,
,,117.11, 0.000308055,210.384, 0.000367948,,
,,118.72, 0.000289879,213.007, 0.000388027,,
,,120.267, 0.000273533,216.62, 0.000419848,,
,,121.868, 0.00025856,218.799, 0.000442025,,
