TIME,s,e,i,r
1,19980,0,20,0
2,19968,12,16,4
3,19951,23,20,6
4,19929,32,30,9
5,19900,50,37,13
6,19875,50,56,19
7,19825,82,67,26
8,19779,101,81,39
9,19699,151,96,54
10,19622,174,127,77
11,19509,212,181,98
12,19360,282,238,120
13,19156,377,314,153
14,18894,492,403,211
15,18566,633,514,287
16,18120,841,665,374
17,17560,1068,889,483
18,16880,1326,1155,639
19,16030,1662,1448,860
20,15025,2048,1829,1098
21,13854,2469,2266,1411
22,12476,2913,2804,1807
23,11064,3250,3395,2291
24,9552,3525,4059,2864
25,8004,3773,4699,3524
26,6528,3891,5314,4267
27,5259,3814,5781,5146
28,4232,3537,6166,6065
29,3308,3218,6468,7006
30,2626,2782,6594,7998
31,2086,2421,6544,8949
32,1668,2111,6336,9885
33,1367,1763,6076,10794
34,1114,1455,5776,11655
35,939,1247,5383,12431
36,800,1020,5036,13144
37,690,827,4613,13870
38,611,674,4261,14454
39,579,565,3849,15007
40,563,449,3497,15491
41,548,360,3179,15913
42,559,283,2869,16289
43,554,264,2554,16628
44,553,241,2287,16919
45,565,220,2028,17187
46,597,200,1800,17403
47,617,175,1630,17578
48,654,132,1445,17769
49,691,117,1261,17931
50,729,98,1136,18037
51,767,86,979,18168
52,808,82,870,18240
53,859,74,800,18267
54,922,64,712,18302
55,978,56,638,18328
56,1025,59,561,18355
57,1065,58,511,18366
58,1114,53,451,18382
59,1156,49,404,18391
60,1217,46,360,18377
61,1253,51,317,18379
62,1306,50,296,18348
63,1356,41,271,18332
64,1408,43,240,18309
65,1470,41,204,18285
66,1532,29,198,18241
67,1600,26,175,18199
68,1660,29,156,18155
69,1706,32,135,18127
70,1771,29,121,18079
71,1818,30,105,18047
72,1878,27,98,17997
73,1926,24,86,17964
74,1979,18,83,17920
75,2040,18,69,17873
76,2084,17,62,17837
77,2136,16,51,17797
78,2184,13,51,17752
79,2238,15,44,17703
80,2283,15,43,17659
81,2329,7,41,17623
82,2379,11,39,17571
83,2434,9,39,17518
84,2498,8,37,17457
85,2544,13,33,17410
86,2591,11,28,17370
87,2643,10,28,17319
88,2697,11,25,17267
89,2745,10,21,17224
90,2794,7,23,17176
91,2836,5,19,17140
92,2891,7,16,17086
93,2939,7,13,17041
94,2987,4,12,16997
95,3026,8,11,16955
96,3086,5,15,16894
97,3132,2,17,16849
98,3191,1,16,16792
99,3242,1,14,16743
100,3275,5,12,16708
101,3338,2,15,16645
102,3389,5,13,16593
103,3440,4,13,16543
104,3506,7,9,16478
105,3555,4,12,16429
106,3601,4,11,16384
107,3658,2,13,16327
108,3710,2,11,16277
109,3759,3,8,16230
110,3802,3,9,16186
111,3838,4,9,16149
112,3882,4,10,16104
113,3933,5,13,16049
114,3992,6,12,15990
115,4037,7,11,15945
116,4081,6,13,15900
117,4135,3,14,15848
118,4179,4,13,15804
119,4212,5,12,15771
120,4259,5,10,15726
121,4310,4,12,15674
122,4348,5,8,15639
123,4400,5,8,15587
124,4439,7,5,15549
125,4496,4,7,15493
126,4538,4,7,15451
127,4582,2,8,15408
128,4621,4,8,15367
129,4661,4,10,15325
130,4716,4,10,15270
131,4772,2,11,15215
132,4816,2,11,15171
133,4845,2,11,15142
134,4876,0,12,15112
135,4917,3,10,15070
136,4960,3,12,15025
137,5002,2,12,14984
138,5044,5,10,14941
139,5086,5,11,14898
140,5120,7,9,14864
141,5153,4,12,14831
142,5196,5,9,14790
143,5238,5,10,14747
144,5272,3,12,14713
145,5317,3,13,14667
146,5366,4,11,14619
147,5397,3,10,14590
148,5438,4,11,14547
149,5471,4,10,14515
150,5505,3,11,14481
151,5543,4,9,14444
152,5574,4,11,14411
153,5612,5,12,14371
154,5651,5,14,14330
155,5686,4,13,14297
156,5727,6,11,14256
157,5781,3,13,14203
158,5821,6,13,14160
159,5858,8,12,14122
160,5882,8,15,14095
161,5906,7,16,14071
162,5937,9,11,14043
163,5977,8,15,14000
164,6010,10,14,13966
165,6045,8,15,13932
166,6071,7,14,13908
167,6109,7,14,13870
168,6155,5,14,13826
169,6189,8,14,13789
170,6235,7,15,13743
