Ttimestamp,Average S,Average E,Average I,Average R,STD S,STD E,STD I,STD R
1,0.999,0,0.001,0,0,0,0,0
2,0.99651,0.00206,0.0013,0.00013,0.000381371792932367,0.000377712412645741,0.000115470053837925,0.000105934990547138
3,0.99544,0.00258,0.00167,0.00031,0.000598516684999033,0.000537070241629942,0.000279085809185793,0.000166332999331662
4,0.99415,0.00318,0.00211,0.00056,0.000729154761807591,0.000547316686713968,0.000401248052954778,0.000171269767715535
5,0.99239,0.00406,0.00264,0.00091,0.00114934764105556,0.000764780287983999,0.000544058820349418,0.000172884033065199
6,0.99016,0.00507,0.00334,0.00143,0.00127558265553869,0.000702456008903365,0.000702693231629406,0.000149443411809733
7,0.98794,0.00593,0.0042,0.00193,0.00156219219190355,0.000878192588343936,0.00062893207547044,0.000258413965910857
8,0.98512,0.00704,0.00515,0.00269,0.00229337209269571,0.001611900189907,0.000713753770178795,0.0003900142447541
9,0.98166,0.00861,0.00592,0.00381,0.00271014554754701,0.0013916017948952,0.000998665776590614,0.000591514064827616
10,0.97784,0.00984,0.00766,0.00466,0.00303029151512963,0.00127034553479665,0.00135006172698387,0.000701110230673862
11,0.97365,0.01144,0.00897,0.00594,0.00313696597934303,0.00135990195725035,0.00122297451595144,0.00125006666488898
12,0.96837,0.0135,0.01043,0.0077,0.00395981200451629,0.00156418242755334,0.00148627050027914,0.00149592037815446
13,0.96269,0.01545,0.01253,0.00933,0.00439834564858704,0.00193232732446884,0.00181356003484858,0.00161730228054828
14,0.95645,0.01736,0.01491,0.01128,0.00440687594056784,0.00180874419295697,0.00217942398098417,0.00205631817685018
15,0.94999,0.01899,0.01761,0.01341,0.00510804376558297,0.00234636835225087,0.00210261741645978,0.00215944951833152
16,0.94154,0.02213,0.02042,0.01591,0.0057335658867565,0.00259660034147216,0.00271816931857536,0.00240714215062869
17,0.93319,0.02458,0.02296,0.01927,0.00624116264097573,0.00273569004092203,0.00318161384625266,0.00272072294314091
18,0.92406,0.0268,0.02634,0.0228,0.00713242984932592,0.00337111916793881,0.00334139026288293,0.00273170683313972
