timestamp,S,E,I,R
0,0.999,0.0,0.001,0.0
1.0,0.998,0.0008,0.001,0.0002
2.0,0.9972,0.0013,0.001,0.0005
3.0,0.9967,0.0015,0.0012,0.0006
4.0,0.9957,0.0019,0.0015,0.0009
5.0,0.9948,0.0021,0.0019,0.0012
6.0,0.993,0.0033,0.0023,0.0014
7.0,0.9904,0.005,0.003,0.0016
8.0,0.9877,0.0058,0.0043,0.0022
9.0,0.984,0.0077,0.0052,0.0031
10.0,0.9805,0.0088,0.0062,0.0045
11.0,0.9775,0.0093,0.0077,0.0055
12.0,0.9719,0.0118,0.0101,0.0062
13.0,0.9675,0.0127,0.012,0.0078
14.0,0.9621,0.0152,0.0135,0.0092
15.0,0.9559,0.0162,0.0164,0.0115
16.0,0.9494,0.0176,0.0191,0.0139
17.0,0.9436,0.0183,0.0208,0.0173
18.0,0.9357,0.0214,0.0231,0.0198
19.0,0.9273,0.0236,0.0261,0.023
20.0,0.9186,0.026,0.029,0.0264
21.0,0.9082,0.0286,0.0322,0.031
22.0,0.8986,0.0308,0.0357,0.0349
23.0,0.888,0.0336,0.0385,0.0399
24.0,0.8757,0.036,0.0406,0.0477
25.0,0.8628,0.0394,0.0443,0.0535
26.0,0.8514,0.0409,0.047,0.0607
27.0,0.8395,0.0388,0.0543,0.0674
28.0,0.8283,0.0399,0.0563,0.0755
29.0,0.8162,0.0391,0.0621,0.0826
30.0,0.804,0.0405,0.0652,0.0903
31.0,0.7908,0.0418,0.0664,0.101
32.0,0.7786,0.0412,0.0702,0.11
33.0,0.7678,0.0415,0.0691,0.1216
34.0,0.7586,0.0382,0.0691,0.1341
35.0,0.7488,0.0386,0.0673,0.1453
36.0,0.7377,0.0403,0.0653,0.1567
37.0,0.7255,0.0424,0.0665,0.1656
38.0,0.7135,0.0411,0.0699,0.1755
39.0,0.7033,0.0386,0.0718,0.1863
40.0,0.6915,0.0401,0.0727,0.1957
41.0,0.6799,0.0401,0.074,0.206
42.0,0.6675,0.0407,0.0744,0.2174
43.0,0.6541,0.0424,0.076,0.2275
44.0,0.6421,0.0422,0.0771,0.2386
45.0,0.6296,0.0426,0.08,0.2478
46.0,0.6189,0.0417,0.0806,0.2588
47.0,0.6074,0.0433,0.08,0.2693
48.0,0.5948,0.0438,0.0801,0.2813
49.0,0.5842,0.0421,0.0831,0.2906
50.0,0.5713,0.0431,0.0845,0.3011
51.0,0.5577,0.0447,0.0859,0.3117
52.0,0.5441,0.0488,0.0841,0.323
53.0,0.532,0.0488,0.0855,0.3337
54.0,0.5188,0.0496,0.0858,0.3458
55.0,0.5069,0.0488,0.0854,0.3589
56.0,0.4948,0.0479,0.088,0.3693
57.0,0.4833,0.0471,0.0886,0.381
58.0,0.4712,0.0472,0.09,0.3916
59.0,0.4605,0.044,0.0919,0.4036
60.0,0.449,0.0448,0.0919,0.4143
61.0,0.4386,0.0427,0.0921,0.4266
62.0,0.4271,0.0414,0.0942,0.4373
63.0,0.4162,0.0417,0.0925,0.4496
64.0,0.4062,0.0417,0.0894,0.4627
65.0,0.397,0.0417,0.0871,0.4742
66.0,0.3878,0.0382,0.089,0.485
67.0,0.3776,0.0386,0.0902,0.4936
68.0,0.3686,0.0367,0.0886,0.5061
69.0,0.3602,0.0359,0.0875,0.5164
70.0,0.3517,0.0358,0.0852,0.5273
71.0,0.3442,0.035,0.0832,0.5376
72.0,0.3364,0.0344,0.0808,0.5484
73.0,0.328,0.0328,0.0806,0.5586
74.0,0.3203,0.0336,0.0776,0.5685
75.0,0.3127,0.0335,0.0755,0.5783
76.0,0.3063,0.031,0.0744,0.5883
77.0,0.2977,0.0319,0.0726,0.5978
78.0,0.2901,0.0318,0.0721,0.606
79.0,0.2839,0.0315,0.0701,0.6145
80.0,0.2761,0.0299,0.0714,0.6226
81.0,0.268,0.0298,0.0705,0.6317
82.0,0.2605,0.0316,0.0692,0.6387
