time,propSusceptible,propExposed,propInfected,propRecovered
0.0,0.999,0.0,0.001,0.0
1.0,0.9982,0.0008,0.00065,0.00035
2.0,0.99775,0.00105,0.00075,0.00045
3.0,0.99715,0.0013,0.00105,0.0005
4.0,0.9958,0.0021,0.0014,0.0007
5.0,0.99505,0.00215,0.00185,0.00095
6.0,0.9933,0.00335,0.002,0.00135
7.0,0.9914,0.00425,0.00285,0.0015
8.0,0.98845,0.0058,0.00425,0.0015
9.0,0.98515,0.00715,0.0058,0.0019
10.0,0.98055,0.00995,0.0066,0.0029
11.0,0.97415,0.0133,0.00865,0.0039
12.0,0.9673,0.01645,0.01125,0.005
13.0,0.9578,0.0217,0.01365,0.00685
14.0,0.94605,0.028,0.01745,0.0085
15.0,0.93155,0.0348,0.02265,0.011
16.0,0.9119,0.0443,0.0299,0.0139
17.0,0.88845,0.05515,0.0389,0.0175
18.0,0.8562,0.0704,0.05085,0.02255
19.0,0.81785,0.08915,0.06275,0.03025
20.0,0.7745,0.1072,0.07845,0.03985
21.0,0.7227,0.128,0.0986,0.0507
22.0,0.66425,0.15165,0.12075,0.06335
23.0,0.6018,0.16985,0.1491,0.07925
24.0,0.52905,0.1963,0.17545,0.0992
25.0,0.45745,0.21585,0.2027,0.124
26.0,0.3854,0.2251,0.23965,0.14985
27.0,0.3167,0.23075,0.2709,0.18165
28.0,0.2516,0.22925,0.29965,0.2195
29.0,0.2007,0.21535,0.32375,0.2602
30.0,0.15515,0.20075,0.3417,0.3024
31.0,0.11595,0.1858,0.35325,0.345
32.0,0.08795,0.161,0.35925,0.3918
33.0,0.06795,0.137,0.3565,0.43855
34.0,0.05425,0.1136,0.3466,0.48555
35.0,0.04365,0.095,0.3301,0.53125
36.0,0.03585,0.078,0.31135,0.5748
37.0,0.03235,0.06055,0.2934,0.6137
38.0,0.02845,0.04965,0.2705,0.6514
39.0,0.025,0.0407,0.2505,0.6838
40.0,0.0223,0.0333,0.2294,0.715
41.0,0.02125,0.0267,0.2097,0.74235
42.0,0.0209,0.0228,0.18845,0.76785
43.0,0.021,0.0191,0.16885,0.79105
44.0,0.02115,0.01545,0.1524,0.811
45.0,0.0218,0.0131,0.13595,0.82915
46.0,0.0225,0.01195,0.121,0.84455
47.0,0.0235,0.01,0.109,0.8575
48.0,0.024,0.0088,0.09765,0.86955
49.0,0.02515,0.00835,0.0868,0.8797
50.0,0.02675,0.0066,0.07715,0.8895
51.0,0.02965,0.00565,0.06815,0.89655
52.0,0.0313,0.00535,0.06065,0.9027
53.0,0.0341,0.005,0.0531,0.9078
54.0,0.03595,0.00495,0.04735,0.91175
55.0,0.03915,0.004,0.042,0.91485
56.0,0.0414,0.00355,0.0372,0.91785
57.0,0.04415,0.00295,0.033,0.9199
58.0,0.0469,0.0034,0.0292,0.9205
59.0,0.04965,0.00335,0.0265,0.9205
60.0,0.05215,0.0032,0.0237,0.92095
61.0,0.0552,0.00295,0.0212,0.92065
62.0,0.0577,0.0027,0.0196,0.92
63.0,0.0602,0.0027,0.01715,0.91995
64.0,0.0631,0.00285,0.01485,0.9192
65.0,0.06535,0.00295,0.0125,0.9192
66.0,0.06825,0.0029,0.01135,0.9175
67.0,0.07025,0.00325,0.0105,0.916
68.0,0.07345,0.00265,0.00935,0.91455
69.0,0.0763,0.00225,0.00895,0.9125
70.0,0.0786,0.0024,0.0079,0.9111
71.0,0.0812,0.00225,0.00725,0.9093
72.0,0.08385,0.0017,0.00705,0.9074
73.0,0.0872,0.00155,0.0065,0.90475
74.0,0.0896,0.00185,0.0062,0.90235
75.0,0.0929,0.0017,0.0056,0.8998
76.0,0.0957,0.00155,0.005,0.89775
77.0,0.09865,0.0015,0.0046,0.89525
78.0,0.102,0.0012,0.00425,0.89255
79.0,0.104,0.0011,0.00405,0.89085
80.0,0.1068,0.00105,0.0034,0.88875
81.0,0.10895,0.00085,0.0033,0.8869
82.0,0.1118,0.0008,0.00315,0.88425
83.0,0.11425,0.00075,0.0027,0.8823
84.0,0.11685,0.00065,0.00265,0.87985
85.0,0.11935,0.0007,0.00235,0.8776
86.0,0.1217,0.0006,0.0022,0.8755
87.0,0.1241,0.0007,0.0021,0.8731
88.0,0.1269,0.0007,0.002,0.8704
89.0,0.1292,0.0007,0.00175,0.86835
90.0,0.131,0.0009,0.00175,0.86635
91.0,0.13385,0.0008,0.0016,0.86375
92.0,0.1365,0.0007,0.00175,0.86105
93.0,0.13875,0.0008,0.00165,0.8588
94.0,0.14105,0.0008,0.00165,0.8565
95.0,0.1434,0.0009,0.0016,0.8541
96.0,0.14705,0.00075,0.00175,0.85045
97.0,0.149,0.00075,0.00175,0.8485
98.0,0.1518,0.0008,0.00165,0.84575
99.0,0.15465,0.00085,0.00135,0.84315
100.0,0.15685,0.0009,0.0013,0.84095
101.0,0.1591,0.00095,0.0011,0.83885
102.0,0.16125,0.00085,0.00125,0.83665
103.0,0.1635,0.0008,0.0013,0.8344
104.0,0.1658,0.00085,0.0012,0.83215
105.0,0.16845,0.00075,0.0013,0.8295
106.0,0.1708,0.0006,0.0012,0.8274
107.0,0.17325,0.0006,0.0013,0.82485
108.0,0.17525,0.00065,0.0013,0.8228
109.0,0.177,0.00085,0.0013,0.82085
110.0,0.17905,0.0007,0.0013,0.81895
111.0,0.1815,0.00065,0.0014,0.81645
112.0,0.1843,0.00045,0.00135,0.8139
