step,S,E,I,R
0,0.99995,0.0,5.0e-5,0.0
1,0.99995,0.0,5.0e-5,0.0
2,0.9998,0.00015,5.0e-5,0.0
3,0.99975,0.0002,5.0e-5,0.0
4,0.99975,0.0002,5.0e-5,0.0
5,0.9997,0.0002,0.0001,0.0
6,0.9996,0.0003,0.0001,0.0
7,0.9995,0.0004,5.0e-5,5.0e-5
8,0.99945,0.00035,0.00015,5.0e-5
9,0.99935,0.0004,0.0002,5.0e-5
10,0.9991,0.00065,0.00015,0.0001
11,0.9987,0.0009,0.00025,0.00015
12,0.99835,0.001,0.0005,0.00015
13,0.99785,0.0014,0.0006,0.00015
14,0.99725,0.0017,0.00085,0.0002
15,0.9969,0.0019,0.001,0.0002
16,0.9963,0.0022,0.0012,0.0003
17,0.99545,0.00275,0.00125,0.00055
18,0.9941,0.00395,0.00125,0.0007
19,0.99265,0.0047,0.0018,0.00085
20,0.9909,0.0056,0.0025,0.001
21,0.9889,0.0063,0.0035,0.0013
22,0.986,0.0079,0.0042,0.0019
23,0.98265,0.00995,0.00525,0.00215
24,0.97855,0.0126,0.00595,0.0029
25,0.97255,0.01615,0.0078,0.0035
26,0.9658,0.01995,0.00965,0.0046
27,0.95715,0.0246,0.01265,0.0056
28,0.9463,0.03095,0.016,0.00675
29,0.93295,0.0392,0.01965,0.0082
30,0.9172,0.0485,0.0238,0.0105
31,0.89725,0.05945,0.0303,0.013
32,0.87345,0.07165,0.03885,0.01605
33,0.84365,0.0871,0.0497,0.01955
34,0.8073,0.1067,0.0623,0.0237
35,0.7655,0.1307,0.07385,0.02995
36,0.71685,0.154,0.09135,0.0378
37,0.6638,0.17855,0.1115,0.04615
38,0.60335,0.2033,0.13645,0.0569
39,0.5358,0.2316,0.1627,0.0699
40,0.4669,0.25515,0.19225,0.0857
41,0.3967,0.27295,0.22505,0.1053
42,0.3295,0.2848,0.25825,0.12745
43,0.2685,0.28425,0.2917,0.15555
44,0.21245,0.278,0.3237,0.18585
45,0.1637,0.2663,0.34925,0.22075
46,0.12385,0.2459,0.37045,0.2598
47,0.09325,0.2204,0.38535,0.301
48,0.07055,0.19085,0.39615,0.34245
49,0.0545,0.1599,0.39965,0.38595
50,0.04345,0.1335,0.39015,0.4329
51,0.03525,0.1073,0.3808,0.47665
52,0.0289,0.08935,0.36115,0.5206
53,0.0255,0.07135,0.341,0.56215
54,0.02215,0.0586,0.3151,0.60415
55,0.01985,0.0478,0.2881,0.64425
56,0.01965,0.03845,0.2633,0.6786
57,0.01925,0.0315,0.2393,0.70995
58,0.01945,0.02675,0.2151,0.7387
59,0.0196,0.02225,0.19365,0.7645
60,0.01965,0.0193,0.1748,0.78625
61,0.0201,0.01655,0.1569,0.80645
62,0.02185,0.01435,0.1387,0.8251
63,0.0231,0.0129,0.12255,0.84145
64,0.0247,0.0105,0.10885,0.85595
65,0.02625,0.00915,0.0959,0.8687
66,0.0276,0.00895,0.08475,0.8787
67,0.02955,0.00855,0.075,0.8869
68,0.0304,0.00825,0.06685,0.8945
69,0.03265,0.00715,0.0597,0.9005
70,0.03555,0.00625,0.0532,0.905
71,0.03785,0.00505,0.0478,0.9093
72,0.0404,0.0052,0.04165,0.91275
73,0.04215,0.005,0.03755,0.9153
74,0.0443,0.00455,0.0337,0.91745
75,0.04655,0.0046,0.0304,0.91845
76,0.04875,0.00475,0.02755,0.91895
77,0.05085,0.00475,0.02485,0.91955
78,0.0533,0.00465,0.02195,0.9201
79,0.05555,0.00475,0.01925,0.92045
80,0.0576,0.00455,0.01725,0.9206
81,0.0595,0.00425,0.01545,0.9208
82,0.0617,0.00395,0.0147,0.91965
83,0.0643,0.0036,0.0133,0.9188
84,0.06715,0.00315,0.01165,0.91805
85,0.0701,0.003,0.01005,0.91685
86,0.07285,0.00265,0.0097,0.9148
87,0.07635,0.00205,0.00905,0.91255
88,0.0789,0.00195,0.00845,0.9107
89,0.08155,0.002,0.00745,0.909
90,0.08405,0.00185,0.0067,0.9074
91,0.08705,0.00175,0.00575,0.90545
92,0.09005,0.00175,0.0054,0.9028
93,0.09305,0.0014,0.0053,0.90025
94,0.095,0.0017,0.0046,0.8987
95,0.0986,0.0014,0.0042,0.8958
96,0.1012,0.0011,0.0042,0.8935
97,0.10335,0.00105,0.00395,0.89165
98,0.105,0.00115,0.0035,0.89035
99,0.1076,0.00115,0.0031,0.88815
100,0.11055,0.0011,0.0025,0.88585
101,0.11335,0.0007,0.0025,0.88345
102,0.11605,0.00065,0.00245,0.88085
103,0.11875,0.00065,0.00225,0.87835
104,0.1212,0.0008,0.0018,0.8762
105,0.1237,0.0009,0.0016,0.8738
106,0.12685,0.0006,0.00165,0.8709
107,0.1296,0.00055,0.0015,0.86835
108,0.13195,0.00065,0.00135,0.86605
109,0.13455,0.00065,0.00125,0.86355
110,0.13735,0.00065,0.001,0.861
111,0.1395,0.0004,0.00125,0.85885
112,0.1423,0.0004,0.0013,0.856
113,0.1445,0.0005,0.001,0.854
114,0.14675,0.0006,0.0009,0.85175
115,0.14895,0.00045,0.00075,0.84985
