"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Python_8","Pyt_H"
"2",1,0.9983,7e-04,0.001,0,"Python_8","Pyt_H"
"3",2,0.99755,0.00145,0.00085,0.00015,"Python_8","Pyt_H"
"4",3,0.9968,0.002,8e-04,4e-04,"Python_8","Pyt_H"
"5",4,0.99605,0.00245,9e-04,6e-04,"Python_8","Pyt_H"
"6",5,0.99525,0.0029,0.0011,0.00075,"Python_8","Pyt_H"
"7",6,0.9942,0.0035,0.00155,0.00075,"Python_8","Pyt_H"
"8",7,0.9927,0.0044,0.0021,8e-04,"Python_8","Pyt_H"
"9",8,0.9909,0.0057,0.00235,0.00105,"Python_8","Pyt_H"
"10",9,0.98895,0.0069,0.00285,0.0013,"Python_8","Pyt_H"
"11",10,0.9865,0.008,0.004,0.0015,"Python_8","Pyt_H"
"12",11,0.9828,0.0102,0.005,0.002,"Python_8","Pyt_H"
"13",12,0.9783,0.01285,0.00625,0.0026,"Python_8","Pyt_H"
"14",13,0.9728,0.0158,0.0081,0.0033,"Python_8","Pyt_H"
"15",14,0.96595,0.0191,0.0111,0.00385,"Python_8","Pyt_H"
"16",15,0.95735,0.02425,0.01355,0.00485,"Python_8","Pyt_H"
"17",16,0.9454,0.0313,0.0171,0.0062,"Python_8","Pyt_H"
"18",17,0.93145,0.0394,0.0213,0.00785,"Python_8","Pyt_H"
"19",18,0.9146,0.04895,0.0265,0.00995,"Python_8","Pyt_H"
"20",19,0.8938,0.061,0.033,0.0122,"Python_8","Pyt_H"
"21",20,0.8677,0.0755,0.0416,0.0152,"Python_8","Pyt_H"
"22",21,0.83585,0.0933,0.05105,0.0198,"Python_8","Pyt_H"
"23",22,0.8002,0.1125,0.0629,0.0244,"Python_8","Pyt_H"
"24",23,0.7578,0.1337,0.07725,0.03125,"Python_8","Pyt_H"
"25",24,0.7087,0.15745,0.09475,0.0391,"Python_8","Pyt_H"
"26",25,0.64975,0.1857,0.11715,0.0474,"Python_8","Pyt_H"
"27",26,0.58555,0.21395,0.1415,0.059,"Python_8","Pyt_H"
"28",27,0.517,0.24055,0.1695,0.07295,"Python_8","Pyt_H"
"29",28,0.4475,0.26195,0.201,0.08955,"Python_8","Pyt_H"
"30",29,0.37825,0.27725,0.23255,0.11195,"Python_8","Pyt_H"
"31",30,0.31145,0.2836,0.26945,0.1355,"Python_8","Pyt_H"
"32",31,0.2498,0.2847,0.30125,0.16425,"Python_8","Pyt_H"
"33",32,0.19645,0.2788,0.32865,0.1961,"Python_8","Pyt_H"
"34",33,0.1517,0.25975,0.3576,0.23095,"Python_8","Pyt_H"
"35",34,0.11365,0.2342,0.38265,0.2695,"Python_8","Pyt_H"
"36",35,0.08455,0.20835,0.39635,0.31075,"Python_8","Pyt_H"
"37",36,0.0631,0.1781,0.40665,0.35215,"Python_8","Pyt_H"
"38",37,0.0479,0.15105,0.4049,0.39615,"Python_8","Pyt_H"
"39",38,0.0362,0.1269,0.39415,0.44275,"Python_8","Pyt_H"
"40",39,0.02775,0.10405,0.3777,0.4905,"Python_8","Pyt_H"
"41",40,0.02175,0.0847,0.35785,0.5357,"Python_8","Pyt_H"
"42",41,0.0193,0.0666,0.33655,0.57755,"Python_8","Pyt_H"
"43",42,0.0163,0.05285,0.31345,0.6174,"Python_8","Pyt_H"
"44",43,0.01365,0.04325,0.2908,0.6523,"Python_8","Pyt_H"
"45",44,0.0125,0.0343,0.26525,0.68795,"Python_8","Pyt_H"
"46",45,0.01285,0.02735,0.2382,0.7216,"Python_8","Pyt_H"
"47",46,0.0134,0.0214,0.21465,0.75055,"Python_8","Pyt_H"
"48",47,0.01355,0.0172,0.1921,0.77715,"Python_8","Pyt_H"
"49",48,0.01425,0.01475,0.1726,0.7984,"Python_8","Pyt_H"
"50",49,0.015,0.01245,0.15225,0.8203,"Python_8","Pyt_H"
"51",50,0.0156,0.0105,0.13405,0.83985,"Python_8","Pyt_H"
"52",51,0.0169,0.00965,0.1178,0.85565,"Python_8","Pyt_H"
"53",52,0.01805,0.00905,0.1033,0.8696,"Python_8","Pyt_H"
"54",53,0.02015,0.0077,0.0915,0.88065,"Python_8","Pyt_H"
"55",54,0.0214,0.0073,0.082,0.8893,"Python_8","Pyt_H"
"56",55,0.0242,0.0064,0.0733,0.8961,"Python_8","Pyt_H"
"57",56,0.0257,0.0063,0.065,0.903,"Python_8","Pyt_H"
"58",57,0.02775,0.00575,0.05685,0.90965,"Python_8","Pyt_H"
"59",58,0.02945,0.0061,0.05105,0.9134,"Python_8","Pyt_H"
"60",59,0.0316,0.00575,0.0454,0.91725,"Python_8","Pyt_H"
"61",60,0.0344,0.0053,0.03995,0.92035,"Python_8","Pyt_H"
"62",61,0.03655,0.00445,0.0366,0.9224,"Python_8","Pyt_H"
"63",62,0.0391,0.0046,0.03245,0.92385,"Python_8","Pyt_H"
"64",63,0.04135,0.00455,0.02895,0.92515,"Python_8","Pyt_H"
