"","step","S","E","I","R","simu","Langage"
"1",0,0.999,0,0.001,0,"Netlogo_H_6","Net_H"
"2",1,0.99845,0.00055,0.001,0,"Netlogo_H_6","Net_H"
"3",2,0.99795,0.00105,8e-04,2e-04,"Netlogo_H_6","Net_H"
"4",3,0.9974,0.00135,0.001,0.00025,"Netlogo_H_6","Net_H"
"5",4,0.99675,0.0017,0.00125,3e-04,"Netlogo_H_6","Net_H"
"6",5,0.99615,0.00205,0.00135,0.00045,"Netlogo_H_6","Net_H"
"7",6,0.99495,0.00295,0.0016,5e-04,"Netlogo_H_6","Net_H"
"8",7,0.99385,0.00365,0.0018,7e-04,"Netlogo_H_6","Net_H"
"9",8,0.9927,0.004,0.00245,0.00085,"Netlogo_H_6","Net_H"
"10",9,0.99105,0.0048,0.0031,0.00105,"Netlogo_H_6","Net_H"
"11",10,0.9897,0.0052,0.00375,0.00135,"Netlogo_H_6","Net_H"
"12",11,0.98695,0.0066,0.0049,0.00155,"Netlogo_H_6","Net_H"
"13",12,0.9837,0.00865,0.0056,0.00205,"Netlogo_H_6","Net_H"
"14",13,0.97965,0.01125,0.0063,0.0028,"Netlogo_H_6","Net_H"
"15",14,0.97585,0.01295,0.0076,0.0036,"Netlogo_H_6","Net_H"
"16",15,0.97115,0.01515,0.00935,0.00435,"Netlogo_H_6","Net_H"
"17",16,0.9639,0.01965,0.0112,0.00525,"Netlogo_H_6","Net_H"
"18",17,0.95535,0.02505,0.0132,0.0064,"Netlogo_H_6","Net_H"
"19",18,0.9465,0.02915,0.01655,0.0078,"Netlogo_H_6","Net_H"
"20",19,0.934,0.0361,0.0206,0.0093,"Netlogo_H_6","Net_H"
"21",20,0.91965,0.0434,0.02555,0.0114,"Netlogo_H_6","Net_H"
"22",21,0.9034,0.05165,0.0312,0.01375,"Netlogo_H_6","Net_H"
"23",22,0.884,0.06115,0.03805,0.0168,"Netlogo_H_6","Net_H"
"24",23,0.86155,0.0718,0.0461,0.02055,"Netlogo_H_6","Net_H"
"25",24,0.8322,0.08745,0.05525,0.0251,"Netlogo_H_6","Net_H"
"26",25,0.8006,0.1019,0.0669,0.0306,"Netlogo_H_6","Net_H"
"27",26,0.76285,0.11885,0.0816,0.0367,"Netlogo_H_6","Net_H"
"28",27,0.722,0.1361,0.09795,0.04395,"Netlogo_H_6","Net_H"
"29",28,0.6747,0.15815,0.11405,0.0531,"Netlogo_H_6","Net_H"
"30",29,0.625,0.17485,0.1344,0.06575,"Netlogo_H_6","Net_H"
"31",30,0.5698,0.1941,0.1573,0.0788,"Netlogo_H_6","Net_H"
"32",31,0.51275,0.2147,0.17815,0.0944,"Netlogo_H_6","Net_H"
"33",32,0.4526,0.22945,0.2042,0.11375,"Netlogo_H_6","Net_H"
"34",33,0.3954,0.2363,0.23225,0.13605,"Netlogo_H_6","Net_H"
"35",34,0.33765,0.24555,0.25505,0.16175,"Netlogo_H_6","Net_H"
"36",35,0.2865,0.24375,0.2825,0.18725,"Netlogo_H_6","Net_H"
"37",36,0.23375,0.2425,0.30545,0.2183,"Netlogo_H_6","Net_H"
"38",37,0.18975,0.2313,0.32595,0.253,"Netlogo_H_6","Net_H"
"39",38,0.1521,0.21355,0.3456,0.28875,"Netlogo_H_6","Net_H"
"40",39,0.1207,0.19685,0.35645,0.326,"Netlogo_H_6","Net_H"
"41",40,0.09325,0.17975,0.3594,0.3676,"Netlogo_H_6","Net_H"
"42",41,0.07335,0.15615,0.3611,0.4094,"Netlogo_H_6","Net_H"
"43",42,0.05685,0.13565,0.35455,0.45295,"Netlogo_H_6","Net_H"
"44",43,0.04565,0.11545,0.3423,0.4966,"Netlogo_H_6","Net_H"
"45",44,0.03595,0.09555,0.33095,0.53755,"Netlogo_H_6","Net_H"
"46",45,0.02955,0.07865,0.31435,0.57745,"Netlogo_H_6","Net_H"
"47",46,0.0262,0.0629,0.2963,0.6146,"Netlogo_H_6","Net_H"
"48",47,0.0242,0.05025,0.2776,0.64795,"Netlogo_H_6","Net_H"
"49",48,0.0219,0.0414,0.25435,0.68235,"Netlogo_H_6","Net_H"
"50",49,0.02035,0.0335,0.23355,0.7126,"Netlogo_H_6","Net_H"
"51",50,0.01995,0.0275,0.212,0.74055,"Netlogo_H_6","Net_H"
"52",51,0.01925,0.0227,0.19135,0.7667,"Netlogo_H_6","Net_H"
"53",52,0.01905,0.01895,0.1731,0.7889,"Netlogo_H_6","Net_H"
"54",53,0.01905,0.0166,0.155,0.80935,"Netlogo_H_6","Net_H"
"55",54,0.0204,0.0144,0.1367,0.8285,"Netlogo_H_6","Net_H"
"56",55,0.0205,0.0124,0.1222,0.8449,"Netlogo_H_6","Net_H"
"57",56,0.0212,0.01095,0.10955,0.8583,"Netlogo_H_6","Net_H"
"58",57,0.02235,0.0097,0.0987,0.86925,"Netlogo_H_6","Net_H"
"59",58,0.0244,0.0089,0.088,0.8787,"Netlogo_H_6","Net_H"
"60",59,0.02585,0.0074,0.0787,0.88805,"Netlogo_H_6","Net_H"
"61",60,0.02715,0.00705,0.07,0.8958,"Netlogo_H_6","Net_H"
"62",61,0.0294,0.00625,0.06095,0.9034,"Netlogo_H_6","Net_H"
"63",62,0.03085,0.0062,0.054,0.90895,"Netlogo_H_6","Net_H"
"64",63,0.0328,0.0061,0.0482,0.9129,"Netlogo_H_6","Net_H"
"65",64,0.03455,0.006,0.04275,0.9167,"Netlogo_H_6","Net_H"
"66",65,0.03585,0.0059,0.0385,0.91975,"Netlogo_H_6","Net_H"
"67",66,0.03745,0.0058,0.0348,0.92195,"Netlogo_H_6","Net_H"
"68",67,0.03975,0.0052,0.0315,0.92355,"Netlogo_H_6","Net_H"
"69",68,0.0416,0.00485,0.02855,0.925,"Netlogo_H_6","Net_H"
"70",69,0.04425,0.0039,0.0259,0.92595,"Netlogo_H_6","Net_H"
"71",70,0.0464,0.0039,0.0234,0.9263,"Netlogo_H_6","Net_H"
"72",71,0.04885,0.0036,0.02065,0.9269,"Netlogo_H_6","Net_H"
"73",72,0.0512,0.0032,0.0191,0.9265,"Netlogo_H_6","Net_H"
"74",73,0.0539,0.00285,0.0169,0.92635,"Netlogo_H_6","Net_H"
"75",74,0.0564,0.003,0.01585,0.92475,"Netlogo_H_6","Net_H"
"76",75,0.05885,0.0033,0.014,0.92385,"Netlogo_H_6","Net_H"
"77",76,0.06155,0.003,0.0134,0.92205,"Netlogo_H_6","Net_H"
"78",77,0.0639,0.00305,0.012,0.92105,"Netlogo_H_6","Net_H"
"79",78,0.067,0.00265,0.01075,0.9196,"Netlogo_H_6","Net_H"
"80",79,0.07045,0.00255,0.0098,0.9172,"Netlogo_H_6","Net_H"
"81",80,0.0727,0.0025,0.00875,0.91605,"Netlogo_H_6","Net_H"
"82",81,0.0753,0.00225,0.008,0.91445,"Netlogo_H_6","Net_H"
"83",82,0.078,0.0024,0.0073,0.9123,"Netlogo_H_6","Net_H"
"84",83,0.08045,0.00225,0.00655,0.91075,"Netlogo_H_6","Net_H"
"85",84,0.08335,0.0021,0.006,0.90855,"Netlogo_H_6","Net_H"
"86",85,0.08605,0.00195,0.0055,0.9065,"Netlogo_H_6","Net_H"
"87",86,0.08905,0.0019,0.005,0.90405,"Netlogo_H_6","Net_H"
"88",87,0.0925,0.0017,0.00485,0.90095,"Netlogo_H_6","Net_H"
"89",88,0.09605,0.00165,0.0044,0.8979,"Netlogo_H_6","Net_H"
"90",89,0.09905,0.0014,0.00435,0.8952,"Netlogo_H_6","Net_H"
"91",90,0.10195,0.00185,0.0043,0.8919,"Netlogo_H_6","Net_H"
"92",91,0.1055,0.0017,0.004,0.8888,"Netlogo_H_6","Net_H"
"93",92,0.10765,0.00175,0.0038,0.8868,"Netlogo_H_6","Net_H"
"94",93,0.10975,0.0019,0.00345,0.8849,"Netlogo_H_6","Net_H"
"95",94,0.11295,0.00185,0.0032,0.882,"Netlogo_H_6","Net_H"
"96",95,0.1147,0.00155,0.00315,0.8806,"Netlogo_H_6","Net_H"
"97",96,0.1178,0.0011,0.0032,0.8779,"Netlogo_H_6","Net_H"
"98",97,0.11995,0.001,0.0032,0.87585,"Netlogo_H_6","Net_H"
"99",98,0.1226,7e-04,0.003,0.8737,"Netlogo_H_6","Net_H"
"100",99,0.12475,7e-04,0.003,0.87155,"Netlogo_H_6","Net_H"
"101",100,0.12725,0.00075,0.0027,0.8693,"Netlogo_H_6","Net_H"
"102",101,0.12915,9e-04,0.00255,0.8674,"Netlogo_H_6","Net_H"
"103",102,0.1319,8e-04,0.00235,0.86495,"Netlogo_H_6","Net_H"
"104",103,0.13455,7e-04,0.0023,0.86245,"Netlogo_H_6","Net_H"
"105",104,0.13705,6e-04,0.00215,0.8602,"Netlogo_H_6","Net_H"
"106",105,0.1397,0.00055,0.00185,0.8579,"Netlogo_H_6","Net_H"
"107",106,0.14225,0.00045,0.00175,0.85555,"Netlogo_H_6","Net_H"
"108",107,0.1446,0.00065,0.00155,0.8532,"Netlogo_H_6","Net_H"
"109",108,0.1478,6e-04,0.00145,0.85015,"Netlogo_H_6","Net_H"
"110",109,0.1503,0.00055,0.0015,0.84765,"Netlogo_H_6","Net_H"
"111",110,0.15285,0.00065,0.0014,0.8451,"Netlogo_H_6","Net_H"
"112",111,0.15545,6e-04,0.0014,0.84255,"Netlogo_H_6","Net_H"
"113",112,0.1582,6e-04,0.00145,0.83975,"Netlogo_H_6","Net_H"
"114",113,0.16055,0.00055,0.0014,0.8375,"Netlogo_H_6","Net_H"
"115",114,0.16315,0.00045,0.0013,0.8351,"Netlogo_H_6","Net_H"
"116",115,0.1658,0.00045,0.00115,0.8326,"Netlogo_H_6","Net_H"
"117",116,0.16865,0.00055,0.00105,0.82975,"Netlogo_H_6","Net_H"
"118",117,0.17045,0.00065,9e-04,0.828,"Netlogo_H_6","Net_H"
"119",118,0.17325,9e-04,9e-04,0.82495,"Netlogo_H_6","Net_H"
"120",119,0.1755,9e-04,9e-04,0.8227,"Netlogo_H_6","Net_H"
"121",120,0.1776,0.00105,8e-04,0.82055,"Netlogo_H_6","Net_H"
"122",121,0.18075,0.0011,0.00075,0.8174,"Netlogo_H_6","Net_H"
"123",122,0.183,0.00075,0.0011,0.81515,"Netlogo_H_6","Net_H"
"124",123,0.1852,0.00075,0.0012,0.81285,"Netlogo_H_6","Net_H"
"125",124,0.1878,8e-04,0.0011,0.8103,"Netlogo_H_6","Net_H"
"126",125,0.19,0.00075,0.0013,0.80795,"Netlogo_H_6","Net_H"
"127",126,0.1922,0.00085,0.00125,0.8057,"Netlogo_H_6","Net_H"
"128",127,0.19425,9e-04,0.0013,0.80355,"Netlogo_H_6","Net_H"
"129",128,0.1964,0.00095,0.0012,0.80145,"Netlogo_H_6","Net_H"
"130",129,0.1991,0.00085,0.00125,0.7988,"Netlogo_H_6","Net_H"
"131",130,0.20105,9e-04,0.00135,0.7967,"Netlogo_H_6","Net_H"
"132",131,0.2033,0.00075,0.0016,0.79435,"Netlogo_H_6","Net_H"
"133",132,0.2057,7e-04,0.00155,0.79205,"Netlogo_H_6","Net_H"
"134",133,0.2082,0.00075,0.00145,0.7896,"Netlogo_H_6","Net_H"
"135",134,0.21035,0.00075,0.0014,0.7875,"Netlogo_H_6","Net_H"
"136",135,0.21285,0.00065,0.00155,0.78495,"Netlogo_H_6","Net_H"
"137",136,0.21525,0.00065,0.0017,0.7824,"Netlogo_H_6","Net_H"
"138",137,0.21685,7e-04,0.0017,0.78075,"Netlogo_H_6","Net_H"
"139",138,0.2188,8e-04,0.00155,0.77885,"Netlogo_H_6","Net_H"
"140",139,0.22105,0.00065,0.00165,0.77665,"Netlogo_H_6","Net_H"
"141",140,0.22355,0.00065,0.00165,0.77415,"Netlogo_H_6","Net_H"
"142",141,0.2259,0.00035,0.0018,0.77195,"Netlogo_H_6","Net_H"
"143",142,0.22755,6e-04,0.0016,0.77025,"Netlogo_H_6","Net_H"
"144",143,0.2298,6e-04,0.0015,0.7681,"Netlogo_H_6","Net_H"
"145",144,0.2319,8e-04,0.0014,0.7659,"Netlogo_H_6","Net_H"
"146",145,0.234,9e-04,0.0013,0.7638,"Netlogo_H_6","Net_H"
"147",146,0.23585,0.00105,0.0011,0.762,"Netlogo_H_6","Net_H"
"148",147,0.23795,0.001,0.0011,0.75995,"Netlogo_H_6","Net_H"
"149",148,0.2396,9e-04,0.0011,0.7584,"Netlogo_H_6","Net_H"
"150",149,0.2414,8e-04,0.0012,0.7566,"Netlogo_H_6","Net_H"
"151",150,0.24325,0.00075,0.00125,0.75475,"Netlogo_H_6","Net_H"
"152",151,0.24575,0.00075,0.0013,0.7522,"Netlogo_H_6","Net_H"
"153",152,0.2477,8e-04,0.0012,0.7503,"Netlogo_H_6","Net_H"
"154",153,0.2498,0.00085,0.00095,0.7484,"Netlogo_H_6","Net_H"
"155",154,0.2516,0.00085,0.001,0.74655,"Netlogo_H_6","Net_H"
"156",155,0.25365,0.00115,0.001,0.7442,"Netlogo_H_6","Net_H"
"157",156,0.25585,0.0011,0.0011,0.74195,"Netlogo_H_6","Net_H"
"158",157,0.25795,0.00115,0.00115,0.73975,"Netlogo_H_6","Net_H"
"159",158,0.2601,0.00115,0.0012,0.73755,"Netlogo_H_6","Net_H"
"160",159,0.26215,0.00115,0.0012,0.7355,"Netlogo_H_6","Net_H"
