step,S,E,I,R
0,4.995e-05,0,5e-08,0
1,0.999,0,0.001,0
2,0.9982,8e-04,0.00075,0.00025
3,0.99745,0.001,0.0012,0.00035
4,0.9965,0.0014,0.00155,0.00055
5,0.99535,0.002,0.00185,8e-04
6,0.9939,0.0027,0.0022,0.0012
7,0.9924,0.0035,0.00265,0.00145
8,0.99035,0.00425,0.00325,0.00215
9,0.98745,0.0056,0.0043,0.00265
10,0.98375,0.0068,0.0059,0.00355
11,0.97865,0.00965,0.0072,0.0045
12,0.9735,0.01135,0.00875,0.0064
13,0.96685,0.014,0.01125,0.0079
14,0.95675,0.01855,0.0149,0.0098
15,0.9441,0.02365,0.0199,0.01235
16,0.9281,0.03015,0.026,0.01575
17,0.9064,0.03955,0.03365,0.0204
18,0.8801,0.04985,0.04325,0.0268
19,0.8469,0.06495,0.05285,0.0353
20,0.8074,0.0797,0.06835,0.04455
21,0.76055,0.0991,0.08395,0.0564
22,0.70665,0.11465,0.1086,0.0701
23,0.6451,0.1309,0.13625,0.08775
24,0.572,0.15465,0.16255,0.1108
25,0.4965,0.1717,0.19215,0.13965
26,0.4238,0.1796,0.2228,0.1738
27,0.3545,0.18475,0.2461,0.21465
28,0.28845,0.18525,0.2731,0.2532
29,0.2307,0.1789,0.29575,0.29465
30,0.18145,0.1652,0.31135,0.342
31,0.1423,0.14805,0.3215,0.38815
32,0.11165,0.1296,0.32195,0.4368
33,0.0878,0.1107,0.3161,0.4854
34,0.07325,0.09145,0.301,0.5343
35,0.0612,0.07685,0.28395,0.578
36,0.051,0.0653,0.26495,0.61875
37,0.0449,0.0528,0.24695,0.65535
38,0.0407,0.0443,0.2256,0.6894
39,0.03705,0.0365,0.2074,0.71905
40,0.0334,0.02965,0.19195,0.745
41,0.0319,0.0238,0.17465,0.76965
42,0.0296,0.02155,0.158,0.79085
43,0.02975,0.01725,0.1445,0.8085
44,0.0308,0.0147,0.12995,0.82455
45,0.0313,0.01225,0.1157,0.84075
46,0.03195,0.0108,0.1029,0.85435
47,0.0337,0.00925,0.09165,0.8654
48,0.0343,0.00855,0.08175,0.8754
49,0.03495,0.00755,0.07465,0.88285
50,0.0361,0.0076,0.0667,0.8896
51,0.03725,0.0072,0.06005,0.8955
52,0.0392,0.00615,0.05475,0.8999
53,0.04025,0.00615,0.0487,0.9049
54,0.04245,0.0048,0.0442,0.90855
55,0.0443,0.0043,0.0392,0.9122
56,0.04605,0.00395,0.03445,0.91555
57,0.0478,0.003,0.031,0.9182
58,0.051,0.00315,0.02765,0.9182
59,0.0538,0.0025,0.0256,0.9181
60,0.05565,0.0026,0.02275,0.919
61,0.0579,0.003,0.0198,0.9193
62,0.05935,0.0031,0.01815,0.9194
63,0.062,0.0028,0.01725,0.91795
64,0.06505,0.0022,0.0158,0.91695
65,0.0679,0.00195,0.01425,0.9159
66,0.07115,0.00195,0.01295,0.91395
67,0.0745,0.0018,0.01105,0.91265
68,0.07745,0.002,0.00995,0.9106
69,0.07995,0.00205,0.0088,0.9092
70,0.08255,0.00165,0.00775,0.90805
71,0.0857,0.0012,0.00715,0.90595
72,0.0877,0.0011,0.00605,0.90515
73,0.0899,0.00115,0.0057,0.90325
74,0.09275,0.00115,0.0052,0.9009
75,0.0952,0.00165,0.00445,0.8987
76,0.0974,0.00145,0.00435,0.8968
77,0.09995,0.00145,0.00415,0.89445
78,0.1029,0.0012,0.00405,0.89185
79,0.10585,0.00095,0.00385,0.88935
80,0.10915,0.00105,0.0036,0.8862
81,0.11175,7e-04,0.0036,0.88395
82,0.11435,7e-04,0.00335,0.8816
83,0.117,6e-04,0.003,0.8794
84,0.1198,0.00065,0.0024,0.87715
85,0.1225,6e-04,0.0021,0.8748
86,0.12535,5e-04,0.0019,0.87225
87,0.12795,5e-04,0.00185,0.8697
88,0.13135,0.00045,0.0017,0.8665
89,0.1337,6e-04,0.00145,0.86425
90,0.137,0.00055,0.00135,0.8611
91,0.13985,4e-04,0.0014,0.85835
92,0.1423,0.00045,0.0012,0.85605
93,0.1446,6e-04,0.0011,0.8537
94,0.14685,0.00055,0.00105,0.85155
95,0.1492,0.00045,0.001,0.84935
96,0.15175,0.00045,9e-04,0.8469
97,0.1543,0.00025,0.00095,0.8445
98,0.1572,0.00015,0.00075,0.8419
99,0.15915,0.00015,0.00075,0.83995
100,0.1616,0.00035,6e-04,0.83745
101,0.1638,2e-04,0.00055,0.83545
102,0.1663,0.00015,6e-04,0.83295
103,0.169,1e-04,6e-04,0.8303
104,0.1712,1e-04,6e-04,0.8281
105,0.1739,5e-05,6e-04,0.82545
106,0.1763,5e-05,0.00055,0.8231
107,0.1782,2e-04,5e-04,0.8211
108,0.17995,2e-04,5e-04,0.81935
109,0.18245,0.00015,0.00055,0.81685
110,0.1851,1e-04,5e-04,0.8143
111,0.1875,1e-04,0.00045,0.81195
112,0.1894,1e-04,4e-04,0.8101
113,0.19185,0.00015,4e-04,0.8076
114,0.1946,0.00015,5e-04,0.80475
115,0.19665,1e-04,5e-04,0.80275
116,0.1985,0.00025,4e-04,0.80085
117,0.201,1e-04,5e-04,0.7984
118,0.20315,1e-04,0.00045,0.7963
119,0.2053,5e-05,5e-04,0.79415
120,0.2074,5e-05,3e-04,0.79225
121,0.2097,0.00015,3e-04,0.78985
122,0.2114,0.00015,0.00035,0.7881
123,0.21385,0.00015,0.00035,0.78565
124,0.2161,0.00015,4e-04,0.78335
125,0.21805,1e-04,4e-04,0.78145
126,0.22005,0.00025,0.00035,0.77935
127,0.2227,1e-04,0.00045,0.77675
128,0.22425,0.00015,0.00035,0.77525
129,0.22635,2e-04,4e-04,0.77305
130,0.22865,1e-04,5e-04,0.77075
131,0.2306,1e-04,0.00035,0.76895
132,0.2326,5e-05,0.00035,0.767
133,0.2353,0.00015,3e-04,0.76425
134,0.23715,0.00015,3e-04,0.7624
135,0.2393,1e-04,0.00035,0.76025
136,0.2415,1e-04,4e-04,0.758
137,0.24365,0.00015,4e-04,0.7558
138,0.2458,5e-05,0.00045,0.7537
139,0.248,0.00025,0.00045,0.7513
140,0.24955,3e-04,0.00045,0.7497
141,0.251,0.00015,0.00055,0.7483
142,0.2529,0.00035,0.00045,0.7463
