step,S,E,I,R
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.9983,7e-04,0.001,0
3,0.9976,0.0014,0.00085,0.00015
4,0.99695,0.0019,9e-04,0.00025
5,0.9959,0.0027,0.0011,3e-04
6,0.995,0.00345,0.0012,0.00035
7,0.994,0.0038,0.00165,0.00055
8,0.9924,0.0042,0.00255,0.00085
9,0.9905,0.00545,0.0029,0.00115
10,0.9885,0.0063,0.00365,0.00155
11,0.98565,0.00795,0.00435,0.00205
12,0.98175,0.0103,0.00545,0.0025
13,0.97785,0.01265,0.0065,0.003
14,0.9718,0.0164,0.0083,0.0035
15,0.9652,0.0202,0.0103,0.0043
16,0.9571,0.0241,0.01335,0.00545
17,0.94705,0.0289,0.01755,0.0065
18,0.93545,0.03525,0.02105,0.00825
19,0.9213,0.0433,0.0253,0.0101
20,0.90315,0.05335,0.03095,0.01255
21,0.8809,0.0654,0.0376,0.0161
22,0.8547,0.07935,0.0463,0.01965
23,0.8234,0.0956,0.05665,0.02435
24,0.79065,0.1102,0.06865,0.0305
25,0.74755,0.1294,0.08555,0.0375
26,0.69965,0.15445,0.0999,0.046
27,0.64575,0.179,0.1189,0.05635
28,0.587,0.2044,0.1405,0.0681
29,0.52415,0.22565,0.1678,0.0824
30,0.46025,0.2442,0.19745,0.0981
31,0.39465,0.2576,0.23055,0.1172
32,0.3254,0.2716,0.2621,0.1409
33,0.26765,0.27255,0.2909,0.1689
34,0.21425,0.2662,0.32085,0.1987
35,0.1663,0.25525,0.34705,0.2314
36,0.1276,0.23535,0.3672,0.26985
37,0.0965,0.21225,0.38145,0.3098
38,0.0735,0.18645,0.389,0.35105
39,0.05375,0.1622,0.39055,0.3935
40,0.041,0.1372,0.3817,0.4401
41,0.03115,0.11445,0.3693,0.4851
42,0.0249,0.09155,0.3526,0.53095
43,0.0199,0.0739,0.33295,0.57325
44,0.0175,0.06015,0.3097,0.61265
45,0.0149,0.04785,0.28655,0.6507
46,0.01355,0.03785,0.26435,0.68425
47,0.0139,0.0293,0.244,0.7128
48,0.0135,0.0241,0.219,0.7434
49,0.0133,0.02,0.19685,0.76985
50,0.014,0.0161,0.17675,0.79315
51,0.0144,0.01395,0.1568,0.81485
52,0.0149,0.01105,0.1412,0.83285
53,0.016,0.00925,0.12425,0.8505
54,0.0176,0.00845,0.11125,0.8627
55,0.0195,0.008,0.09795,0.87455
56,0.0211,0.00785,0.08625,0.8848
57,0.0229,0.0077,0.0772,0.8922
58,0.02565,0.0067,0.06965,0.898
59,0.0287,0.0065,0.0606,0.9042
60,0.02985,0.0071,0.05345,0.9096
61,0.03215,0.00675,0.0476,0.9135
62,0.0337,0.0059,0.04425,0.91615
63,0.0356,0.00605,0.0405,0.91785
64,0.03835,0.0055,0.0362,0.91995
65,0.0401,0.0055,0.0324,0.922
66,0.0422,0.0058,0.02845,0.92355
67,0.0443,0.0056,0.0257,0.9244
68,0.0464,0.0054,0.0231,0.9251
69,0.0491,0.00455,0.02095,0.9254
70,0.0523,0.00415,0.019,0.92455
71,0.05505,0.0034,0.01745,0.9241
72,0.0579,0.0029,0.0159,0.9233
73,0.06045,0.003,0.0149,0.92165
74,0.0636,0.0026,0.01325,0.92055
75,0.06545,0.00255,0.01235,0.91965
76,0.06825,0.00285,0.01105,0.91785
77,0.0713,0.00255,0.0104,0.91575
78,0.0742,0.00285,0.00925,0.9137
79,0.0773,0.00275,0.008,0.91195
80,0.0807,0.00255,0.0075,0.90925
81,0.0832,0.0025,0.00675,0.90755
82,0.086,0.0026,0.0063,0.9051
83,0.08905,0.0023,0.0058,0.90285
84,0.09215,0.00225,0.00535,0.90025
85,0.09485,0.0022,0.0052,0.89775
86,0.09805,0.002,0.0049,0.89505
87,0.10105,0.0016,0.0046,0.89275
88,0.104,0.00165,0.00445,0.8899
89,0.10665,0.00185,0.0042,0.8873
90,0.10925,0.00185,0.00405,0.88485
91,0.11215,0.00175,0.0039,0.8822
92,0.11535,0.00165,0.0037,0.8793
93,0.1181,0.0015,0.0036,0.8768
94,0.12115,0.00165,0.00325,0.87395
95,0.12415,0.00175,0.0031,0.871
96,0.127,0.0017,0.0028,0.8685
97,0.12955,0.0016,0.00275,0.8661
98,0.13205,0.00165,0.0027,0.8636
99,0.1347,0.0014,0.00295,0.86095
100,0.13735,0.0013,0.0029,0.85845
101,0.13965,0.00165,0.0026,0.8561
102,0.14205,0.0014,0.0027,0.85385
103,0.14445,0.0016,0.00245,0.8515
104,0.14725,0.00125,0.00255,0.84895
105,0.15005,0.0011,0.0026,0.84625
106,0.1523,8e-04,0.00275,0.84415
107,0.15505,0.0011,0.00255,0.8413
108,0.15785,0.0012,0.00245,0.8385
109,0.1601,0.00145,0.0023,0.83615
110,0.1625,0.0014,0.0023,0.8338
111,0.1643,0.0016,0.0023,0.8318
112,0.1665,0.00155,0.00235,0.8296
113,0.1683,0.0015,0.0024,0.8278
114,0.1708,0.00165,0.0025,0.82505
115,0.17305,0.0018,0.00245,0.8227
116,0.1748,0.0016,0.00265,0.82095
117,0.17655,0.00155,0.00295,0.81895
118,0.179,0.00145,0.00325,0.8163
119,0.18075,0.00165,0.0034,0.8142
120,0.1822,0.0017,0.00355,0.81255
121,0.18415,0.0019,0.0036,0.81035
122,0.1863,0.00205,0.00355,0.8081
123,0.18865,0.0018,0.0037,0.80585
124,0.1906,0.0021,0.00375,0.80355
125,0.19285,0.00245,0.00355,0.80115
126,0.1943,0.0027,0.0036,0.7994
127,0.1966,0.0025,0.00345,0.79745
128,0.1979,0.00235,0.00385,0.7959
129,0.20005,0.00255,0.00395,0.79345
130,0.202,0.0027,0.0039,0.7914
131,0.2033,0.00265,0.00415,0.7899
132,0.2051,0.003,0.00405,0.78785
133,0.20675,0.0033,0.00395,0.786
134,0.2091,0.0028,0.0047,0.7834
135,0.21005,0.00285,0.0048,0.7823
136,0.21175,0.0033,0.0045,0.78045
137,0.2132,0.00335,0.00465,0.7788
138,0.21535,0.0034,0.00465,0.7766
139,0.2172,0.00285,0.0047,0.77525
140,0.21775,0.0034,0.00455,0.7743
141,0.21865,0.0041,0.00455,0.7727
142,0.22055,0.0043,0.0046,0.77055
143,0.2226,0.0042,0.00505,0.76815
144,0.2239,0.0044,0.00545,0.76625
145,0.22545,0.0046,0.00575,0.7642
146,0.2269,0.0047,0.0061,0.7623
147,0.22935,0.00435,0.0065,0.7598
148,0.2314,0.0042,0.0069,0.7575
149,0.23245,0.00445,0.007,0.7561
150,0.23315,0.0048,0.00715,0.7549
151,0.2341,0.00475,0.00755,0.7536
152,0.23475,0.0055,0.0077,0.75205
153,0.2355,0.006,0.0076,0.7509
154,0.2365,0.00625,0.00825,0.749
155,0.2381,0.00655,0.0083,0.74705
156,0.2387,0.00625,0.00885,0.7462
157,0.2404,0.006,0.00955,0.74405
158,0.24055,0.0065,0.0094,0.74355
159,0.24155,0.0068,0.0098,0.74185
160,0.2428,0.0065,0.0106,0.7401
161,0.24355,0.00685,0.01085,0.73875
162,0.2435,0.00735,0.0113,0.73785
163,0.24315,0.00845,0.0119,0.7365
164,0.2435,0.0086,0.012,0.7359
165,0.24335,0.0093,0.0121,0.73525
166,0.24375,0.009,0.0127,0.73455
167,0.2435,0.00945,0.0135,0.73355
168,0.24375,0.00985,0.01425,0.73215
169,0.2436,0.01065,0.01445,0.7313
170,0.24365,0.0116,0.01485,0.7299
171,0.24405,0.0116,0.01535,0.729
172,0.24375,0.01145,0.0164,0.7284
173,0.2442,0.0117,0.0165,0.7276
174,0.24415,0.0116,0.01675,0.7275
175,0.2428,0.01265,0.0174,0.72715
176,0.24205,0.013,0.01795,0.727
