step,S,E,I,R
0,0.999,0,0.001,0
1,0.99795,8e-04,0.00105,2e-04
2,0.9972,0.00125,0.0012,0.00035
3,0.9965,0.0016,0.00125,0.00065
4,0.99505,0.00265,0.0014,9e-04
5,0.9936,0.00325,0.00165,0.0015
6,0.99105,0.0045,0.0027,0.00175
7,0.98775,0.00645,0.00375,0.00205
8,0.98435,0.0079,0.00515,0.0026
9,0.97955,0.0107,0.0064,0.00335
10,0.9715,0.0146,0.0094,0.0045
11,0.9614,0.0203,0.01215,0.00615
12,0.94965,0.02645,0.0157,0.0082
13,0.9329,0.03565,0.0216,0.00985
14,0.911,0.04705,0.0281,0.01385
15,0.88645,0.05775,0.03735,0.01845
16,0.85435,0.0723,0.0487,0.02465
17,0.8144,0.09275,0.0603,0.03255
18,0.76835,0.11205,0.0776,0.042
19,0.71515,0.13265,0.0981,0.0541
20,0.6507,0.1582,0.12225,0.06885
21,0.5784,0.1861,0.1473,0.0882
22,0.50545,0.20485,0.17765,0.11205
23,0.43305,0.22105,0.2076,0.1383
24,0.362,0.23095,0.2367,0.17035
25,0.2964,0.2324,0.2657,0.2055
26,0.2379,0.2273,0.2902,0.2446
27,0.18675,0.21365,0.31305,0.28655
28,0.14685,0.19695,0.32395,0.33225
29,0.1151,0.1751,0.33045,0.37935
30,0.08935,0.1525,0.33125,0.4269
31,0.07075,0.1303,0.32645,0.4725
32,0.0567,0.1061,0.3211,0.5161
33,0.04565,0.0899,0.3053,0.55915
34,0.03795,0.07275,0.28845,0.60085
35,0.0324,0.0612,0.26685,0.63955
36,0.0288,0.04875,0.2462,0.67625
37,0.0268,0.0395,0.22535,0.70835
38,0.0251,0.03205,0.20575,0.7371
39,0.0243,0.02635,0.1876,0.76175
40,0.02375,0.0216,0.1689,0.78575
41,0.02455,0.01795,0.15205,0.80545
42,0.0243,0.0159,0.1362,0.8236
43,0.02565,0.01325,0.1211,0.84
44,0.02675,0.01055,0.1091,0.8536
45,0.02765,0.01015,0.09655,0.86565
46,0.02955,0.0086,0.0854,0.87645
47,0.03155,0.008,0.07655,0.8839
48,0.03295,0.00725,0.0686,0.8912
49,0.03485,0.0068,0.0613,0.89705
50,0.03655,0.00625,0.05525,0.90195
51,0.0384,0.00635,0.05065,0.9046
52,0.0403,0.00605,0.04595,0.9077
53,0.04215,0.0056,0.0409,0.91135
54,0.044,0.00475,0.0367,0.91455
55,0.04635,0.00465,0.0311,0.9179
56,0.0484,0.0043,0.02925,0.91805
57,0.05095,0.0042,0.02485,0.92
58,0.0534,0.0038,0.0225,0.9203
59,0.05725,0.0032,0.02105,0.9185
60,0.05965,0.00315,0.01915,0.91805
61,0.0614,0.0031,0.0178,0.9177
62,0.0641,0.00265,0.016,0.91725
63,0.06675,0.00235,0.01455,0.91635
64,0.07005,0.0021,0.01315,0.9147
65,0.07235,0.00235,0.01165,0.91365
66,0.0747,0.00265,0.0101,0.91255
67,0.077,0.0027,0.00965,0.91065
68,0.0793,0.00215,0.00935,0.9092
69,0.0822,0.00195,0.00885,0.907
70,0.08485,0.0018,0.0078,0.90555
71,0.0871,0.0015,0.0067,0.9047
72,0.0901,0.00145,0.00585,0.9026
73,0.09315,0.00125,0.0054,0.9002
74,0.09565,0.0013,0.00495,0.8981
75,0.09815,0.0014,0.0044,0.89605
76,0.1016,0.0012,0.00385,0.89335
77,0.10455,0.001,0.0038,0.89065
78,0.1075,0.00085,0.00355,0.8881
79,0.11075,0.00075,0.0032,0.8853
80,0.11325,0.00075,0.0027,0.8833
81,0.11645,0.00085,0.00255,0.88015
82,0.11845,0.00075,0.00245,0.87835
83,0.12105,8e-04,0.0022,0.87595
84,0.1242,8e-04,0.0021,0.8729
85,0.127,8e-04,0.0017,0.8705
86,0.1295,7e-04,0.0016,0.8682
87,0.1325,0.00075,0.00125,0.8655
88,0.13455,8e-04,0.0011,0.86355
89,0.13715,8e-04,0.00105,0.861
90,0.1394,0.00065,0.00115,0.8588
91,0.1419,8e-04,0.00115,0.85615
92,0.1447,6e-04,0.00135,0.85335
93,0.1472,0.00065,0.0014,0.85075
94,0.14955,0.00065,0.0013,0.8485
95,0.1517,6e-04,0.00135,0.84635
96,0.1542,0.00075,0.0013,0.84375
97,0.1562,6e-04,0.00145,0.84175
98,0.1589,5e-04,0.00125,0.83935
99,0.1611,0.00035,0.00125,0.8373
100,0.1634,6e-04,0.00125,0.83475
101,0.1657,0.00055,0.00125,0.8325
102,0.16835,0.00045,0.00135,0.82985
103,0.1708,0.00025,0.0015,0.82745
104,0.1725,4e-04,0.0014,0.8257
105,0.1745,0.00035,0.00135,0.8238
106,0.1768,6e-04,0.0014,0.8212
107,0.17885,0.00045,0.0016,0.8191
108,0.1807,0.00065,0.00145,0.8172
109,0.1828,0.00075,0.00125,0.8152
110,0.18525,0.00065,0.0015,0.8126
111,0.18725,0.00085,0.00135,0.81055
112,0.1894,0.00055,0.0015,0.80855
113,0.1906,9e-04,0.0014,0.8071
114,0.19295,0.00085,0.00145,0.80475
115,0.19505,7e-04,0.00145,0.8028
116,0.1971,9e-04,0.00125,0.80075
117,0.19875,9e-04,0.00155,0.7988
118,0.2004,0.00095,0.00155,0.7971
119,0.2029,0.00105,0.0017,0.79435
120,0.2046,0.0012,0.0018,0.7924
121,0.20675,0.001,0.00215,0.7901
122,0.2089,0.0012,0.0022,0.7877
123,0.21105,0.00105,0.00225,0.78565
124,0.21305,0.0013,0.0021,0.78355
125,0.2152,0.0012,0.0023,0.7813
126,0.21715,0.00115,0.0024,0.7793
127,0.2191,0.00105,0.00245,0.7774
128,0.22105,0.0013,0.0024,0.77525
129,0.22275,0.00095,0.0025,0.7738
130,0.22415,0.00105,0.0026,0.7722
131,0.226,0.001,0.00255,0.77045
132,0.2277,0.00145,0.00245,0.7684
133,0.2294,0.00135,0.0025,0.76675
134,0.23135,0.00145,0.0028,0.7644
135,0.2325,0.00155,0.0026,0.76335
136,0.23415,0.0018,0.0025,0.76155
137,0.2357,0.0019,0.00265,0.75975
138,0.2375,0.0015,0.0031,0.7579
139,0.2389,0.00195,0.003,0.75615
140,0.2404,0.00235,0.0029,0.75435
141,0.24145,0.00255,0.00295,0.75305
142,0.24335,0.00265,0.0027,0.7513
143,0.24495,0.00275,0.00265,0.74965
144,0.24685,0.00235,0.0031,0.7477
145,0.2481,0.00225,0.0033,0.74635
146,0.24965,0.0022,0.0031,0.74505
147,0.25115,0.0022,0.00345,0.7432
148,0.2525,0.00265,0.00365,0.7412
149,0.25385,0.00245,0.00405,0.73965
150,0.2546,0.0027,0.00425,0.73845
151,0.2554,0.00275,0.0045,0.73735
152,0.25605,0.0031,0.0047,0.73615
153,0.2579,0.003,0.0049,0.7342
154,0.26015,0.003,0.00485,0.732
155,0.2603,0.0032,0.00495,0.73155
156,0.2617,0.0032,0.00505,0.73005
157,0.2627,0.00365,0.00505,0.7286
158,0.2641,0.00375,0.00525,0.7269
159,0.2649,0.00405,0.0052,0.72585
160,0.26535,0.0042,0.00555,0.7249
161,0.26585,0.0041,0.0061,0.72395
162,0.2666,0.00425,0.0064,0.72275
163,0.2679,0.00455,0.00695,0.7206
164,0.2693,0.0046,0.0072,0.7189
165,0.27005,0.00465,0.00685,0.71845
166,0.2712,0.0046,0.00725,0.71695
167,0.27205,0.00465,0.0074,0.7159
168,0.2726,0.00455,0.0077,0.71515
169,0.27295,0.00445,0.00815,0.71445
170,0.27415,0.00395,0.0086,0.7133
171,0.2741,0.0053,0.0085,0.7121
172,0.27385,0.00545,0.00895,0.71175
173,0.27415,0.00555,0.00895,0.71135
174,0.274,0.0061,0.0094,0.7105
175,0.2738,0.00715,0.0096,0.70945
176,0.27405,0.0076,0.01,0.70835
177,0.274,0.0073,0.01005,0.70865
178,0.2741,0.008,0.01085,0.70705
179,0.27395,0.00765,0.0119,0.7065
180,0.27385,0.00805,0.0123,0.7058
181,0.2719,0.00875,0.01295,0.7064
182,0.27125,0.0085,0.01405,0.7062
183,0.27105,0.00805,0.01455,0.70635
184,0.2705,0.00845,0.01385,0.7072
185,0.27,0.00935,0.0136,0.70705
186,0.26895,0.0097,0.0147,0.70665
187,0.2675,0.01075,0.01555,0.7062
188,0.26675,0.0107,0.0163,0.70625
189,0.26555,0.0115,0.017,0.70595
190,0.26535,0.0121,0.0177,0.70485
191,0.26385,0.01175,0.0188,0.7056
192,0.26265,0.01235,0.01985,0.70515
193,0.26105,0.01295,0.0205,0.7055
194,0.2597,0.013,0.02125,0.70605
195,0.25755,0.0133,0.0228,0.70635
196,0.2556,0.01375,0.02275,0.7079
197,0.2536,0.0139,0.02325,0.70925
198,0.25225,0.01395,0.02365,0.71015
199,0.2504,0.0156,0.02305,0.71095
200,0.2501,0.015,0.02275,0.71215
201,0.24815,0.01465,0.0239,0.7133
202,0.24705,0.01475,0.02365,0.71455
203,0.24425,0.0163,0.02355,0.7159
204,0.24205,0.01665,0.0242,0.7171
205,0.2397,0.0177,0.025,0.7176
206,0.23725,0.01705,0.0269,0.7188
207,0.2342,0.0176,0.0285,0.7197
208,0.2326,0.01645,0.02985,0.7211
209,0.23095,0.01775,0.0292,0.7221
210,0.22765,0.01815,0.02985,0.72435
211,0.22545,0.0181,0.03035,0.7261
212,0.2229,0.01845,0.03055,0.7281
213,0.2209,0.0183,0.0306,0.7302
214,0.21865,0.01935,0.03105,0.73095
215,0.2159,0.01945,0.0312,0.73345
216,0.21385,0.01855,0.03235,0.73525
217,0.21115,0.0192,0.03305,0.7366
218,0.2097,0.01845,0.0341,0.73775
219,0.2067,0.0193,0.035,0.739
220,0.20475,0.01855,0.0345,0.7422
221,0.2022,0.0183,0.03575,0.74375
222,0.20065,0.01775,0.0373,0.7443
223,0.19735,0.0183,0.03675,0.7476
224,0.19485,0.0181,0.03635,0.7507
225,0.19265,0.0187,0.0362,0.75245
226,0.19105,0.0187,0.03655,0.7537
227,0.18925,0.01905,0.036,0.7557
228,0.1878,0.01825,0.0358,0.75815
229,0.1858,0.01785,0.03615,0.7602
230,0.1837,0.01825,0.03575,0.7623
231,0.18215,0.01755,0.0345,0.7658
232,0.1804,0.0171,0.0338,0.7687
233,0.1799,0.01685,0.03345,0.7698
234,0.17925,0.01605,0.03445,0.77025
235,0.1786,0.01625,0.034,0.77115
236,0.17685,0.0168,0.03335,0.773
237,0.17645,0.0167,0.0331,0.77375
238,0.17415,0.01835,0.0327,0.7748
239,0.1739,0.01695,0.0341,0.77505
240,0.1735,0.01645,0.0329,0.77715
241,0.1729,0.0164,0.03175,0.77895
242,0.1711,0.0165,0.031,0.7814
243,0.171,0.01535,0.0307,0.78295
244,0.1713,0.0151,0.0305,0.7831
245,0.17105,0.01465,0.03035,0.78395
246,0.17085,0.0147,0.0306,0.78385
247,0.17015,0.0142,0.03065,0.785
248,0.1706,0.01375,0.03025,0.7854
249,0.16945,0.0149,0.02965,0.786
250,0.1688,0.01535,0.02965,0.7862
251,0.1684,0.0147,0.02905,0.78785
252,0.16805,0.01555,0.02855,0.78785
253,0.16815,0.0154,0.0287,0.78775
254,0.16815,0.0157,0.0291,0.78705
255,0.16895,0.01435,0.02905,0.78765
256,0.16905,0.01445,0.02895,0.78755
257,0.16995,0.0137,0.02925,0.7871
258,0.16925,0.0136,0.02955,0.7876
259,0.16935,0.01345,0.02975,0.78745
260,0.16945,0.01365,0.0291,0.7878
261,0.17,0.01365,0.0281,0.78825
262,0.17065,0.0129,0.0279,0.78855
263,0.17085,0.01335,0.02775,0.78805
264,0.17115,0.013,0.0285,0.78735
265,0.17175,0.0132,0.02715,0.7879
266,0.17195,0.01295,0.02715,0.78795
267,0.1717,0.0129,0.02735,0.78805
268,0.1719,0.0134,0.027,0.7877
269,0.1719,0.0132,0.02645,0.78845
270,0.17345,0.0128,0.02615,0.7876
271,0.17425,0.01285,0.02515,0.78775
272,0.17435,0.01265,0.02575,0.78725
273,0.17365,0.01295,0.02595,0.78745
274,0.17535,0.01255,0.02615,0.78595
275,0.17575,0.01255,0.02555,0.78615
276,0.17555,0.01275,0.02515,0.78655
277,0.1767,0.013,0.0246,0.7857
278,0.17785,0.013,0.02425,0.7849
279,0.1782,0.0135,0.02465,0.78365
280,0.17875,0.013,0.0258,0.78245
281,0.1801,0.0123,0.0251,0.7825
282,0.1803,0.0126,0.0243,0.7828
283,0.18125,0.01245,0.0238,0.7825
284,0.1819,0.01195,0.0245,0.78165
285,0.18305,0.0125,0.02485,0.7796
286,0.1845,0.01265,0.02395,0.7789
287,0.1855,0.0125,0.023,0.779
288,0.1863,0.0133,0.0227,0.7777
289,0.18675,0.0131,0.0234,0.77675
290,0.18825,0.01305,0.023,0.7757
291,0.1887,0.01335,0.02335,0.7746
292,0.18915,0.0139,0.023,0.77395
293,0.19075,0.0131,0.0235,0.77265
294,0.1917,0.0119,0.0249,0.7715
295,0.19315,0.0115,0.02465,0.7707
296,0.1934,0.01205,0.02405,0.7705
297,0.19365,0.01265,0.02425,0.76945
298,0.19435,0.0127,0.02405,0.7689
299,0.19485,0.0133,0.02325,0.7686
300,0.1945,0.0146,0.02335,0.76755
