step,S,E,I,R
0,0.999,0,0.001,0
1,0.99825,0.00075,0.00085,0.00015
2,0.9979,0.00095,9e-04,0.00025
3,0.9972,0.00145,0.001,0.00035
4,0.99615,0.00195,0.00145,0.00045
5,0.99465,0.0031,0.0016,0.00065
6,0.9934,0.00355,0.00225,8e-04
7,0.9921,0.00385,0.003,0.00105
8,0.9897,0.00525,0.0036,0.00145
9,0.98605,0.00705,0.00505,0.00185
10,0.9807,0.01045,0.0063,0.00255
11,0.9744,0.01445,0.00765,0.0035
12,0.96785,0.01705,0.01075,0.00435
13,0.9585,0.02175,0.01375,0.006
14,0.9471,0.0271,0.01795,0.00785
15,0.93315,0.0341,0.02275,0.01
16,0.91545,0.0421,0.02955,0.0129
17,0.8901,0.05445,0.0379,0.01755
18,0.86025,0.06825,0.0499,0.0216
19,0.8246,0.0847,0.0632,0.0275
20,0.7798,0.10515,0.07895,0.0361
21,0.72845,0.126,0.09935,0.0462
22,0.668,0.1503,0.1221,0.0596
23,0.60175,0.17405,0.14845,0.07575
24,0.52935,0.197,0.17715,0.0965
25,0.45585,0.21275,0.2128,0.1186
26,0.3816,0.22765,0.24425,0.1465
27,0.3077,0.23765,0.27705,0.1776
28,0.2453,0.2314,0.31025,0.21305
29,0.19175,0.2204,0.33615,0.2517
30,0.14655,0.2006,0.3558,0.29705
31,0.1105,0.18245,0.36705,0.34
32,0.08325,0.1599,0.36885,0.388
33,0.0634,0.13455,0.3666,0.43545
34,0.0491,0.11025,0.36005,0.4806
35,0.03895,0.0902,0.3439,0.52695
36,0.0317,0.0737,0.32355,0.57105
37,0.0272,0.05925,0.303,0.61055
38,0.0238,0.04885,0.27975,0.6476
39,0.0213,0.03925,0.25555,0.6839
40,0.02005,0.03195,0.232,0.716
41,0.01935,0.02605,0.20745,0.74715
42,0.01935,0.0211,0.18805,0.7715
43,0.0196,0.0167,0.1699,0.7938
44,0.0199,0.0133,0.1531,0.8137
45,0.02045,0.011,0.1358,0.83275
46,0.02155,0.00955,0.1205,0.8484
47,0.02205,0.00835,0.10775,0.86185
48,0.02275,0.00745,0.09665,0.87315
49,0.0243,0.0071,0.0851,0.8835
50,0.0262,0.00695,0.0751,0.89175
51,0.0279,0.00635,0.0664,0.89935
52,0.02945,0.0058,0.061,0.90375
53,0.03225,0.00515,0.05435,0.90825
54,0.03425,0.00505,0.0477,0.913
55,0.0358,0.0047,0.0423,0.9172
56,0.0389,0.00455,0.0378,0.91875
57,0.04095,0.0038,0.03335,0.9219
58,0.0439,0.0032,0.03035,0.92255
59,0.04675,0.00335,0.0269,0.923
60,0.0493,0.00365,0.02395,0.9231
61,0.05205,0.00345,0.02175,0.92275
62,0.05455,0.00345,0.0194,0.9226
63,0.0565,0.00335,0.01775,0.9224
64,0.0591,0.0032,0.0162,0.9215
65,0.0621,0.0029,0.0146,0.9204
66,0.0648,0.00315,0.01275,0.9193
67,0.0672,0.00245,0.012,0.91835
68,0.0692,0.0025,0.0114,0.9169
69,0.071,0.00245,0.01055,0.916
70,0.0731,0.00195,0.0101,0.91485
71,0.0759,0.00175,0.00925,0.9131
72,0.07775,0.00165,0.00845,0.91215
73,0.0812,0.0014,0.0073,0.9101
74,0.08395,0.0013,0.00685,0.9079
75,0.0867,0.0015,0.00605,0.90575
76,0.0889,0.00135,0.00585,0.9039
77,0.09135,0.00125,0.00555,0.90185
78,0.09445,0.0012,0.00515,0.8992
79,0.09765,0.0012,0.0047,0.89645
80,0.10025,0.0012,0.00465,0.8939
81,0.10265,0.00145,0.0043,0.8916
82,0.1045,0.0012,0.0044,0.8899
83,0.1071,0.00125,0.00415,0.8875
84,0.10975,0.00135,0.0037,0.8852
85,0.11215,0.0015,0.00345,0.8829
86,0.11485,0.00145,0.0036,0.8801
87,0.1175,0.0016,0.0035,0.8774
88,0.1201,0.0015,0.0032,0.8752
89,0.123,0.0013,0.0032,0.8725
90,0.1257,0.00125,0.0032,0.86985
91,0.12735,0.001,0.00295,0.8687
92,0.12965,0.001,0.00265,0.8667
93,0.13155,9e-04,0.00225,0.8653
94,0.1344,8e-04,0.0024,0.8624
95,0.1366,9e-04,0.0022,0.8603
96,0.1388,0.00095,0.0021,0.85815
97,0.1411,8e-04,0.00195,0.85615
98,0.14385,6e-04,0.00185,0.8537
99,0.14655,6e-04,0.0017,0.85115
100,0.1491,7e-04,0.00145,0.84875
101,0.1511,0.00065,0.0014,0.84685
102,0.15345,0.00055,0.0015,0.8445
103,0.1554,0.00045,0.0017,0.84245
104,0.1573,5e-04,0.00135,0.84085
105,0.1596,6e-04,0.00135,0.83845
106,0.1626,0.00055,0.0015,0.83535
107,0.1645,0.00055,0.0012,0.83375
108,0.1673,0.00055,0.00125,0.8309
109,0.1699,0.00045,0.0015,0.82815
110,0.1727,6e-04,0.00135,0.82535
111,0.1748,0.00085,0.00135,0.823
112,0.1773,8e-04,0.00135,0.82055
113,0.17925,8e-04,0.00135,0.8186
114,0.18115,6e-04,0.00155,0.8167
115,0.18325,0.00075,0.00165,0.81435
116,0.1861,0.00065,0.00195,0.8113
