step,S,E,I,R
0,0.999,0,0.001,0
1,0.9981,9e-04,0.001,0
2,0.9976,0.00145,0.00085,1e-04
3,0.99685,0.00185,0.0011,2e-04
4,0.99585,0.0027,0.0011,0.00035
5,0.99495,0.0032,0.00145,4e-04
6,0.9929,0.0043,0.0023,5e-04
7,0.99095,0.0055,0.00275,8e-04
8,0.9883,0.0072,0.0034,0.0011
9,0.98515,0.00925,0.00415,0.00145
10,0.98125,0.0116,0.00535,0.0018
11,0.9757,0.01505,0.00705,0.0022
12,0.9703,0.0182,0.0088,0.0027
13,0.96215,0.0224,0.01175,0.0037
14,0.9528,0.02815,0.01455,0.0045
15,0.93955,0.03575,0.019,0.0057
16,0.9236,0.04535,0.02395,0.0071
17,0.9038,0.05765,0.02835,0.0102
18,0.87895,0.0706,0.0374,0.01305
19,0.8473,0.0893,0.04705,0.01635
20,0.80975,0.1115,0.0577,0.02105
21,0.7665,0.13395,0.0728,0.02675
22,0.71795,0.1584,0.0905,0.03315
23,0.66165,0.1861,0.1097,0.04255
24,0.6006,0.2098,0.1351,0.0545
25,0.5314,0.23815,0.1628,0.06765
26,0.45985,0.2605,0.1966,0.08305
27,0.3838,0.2827,0.23115,0.10235
28,0.3093,0.30025,0.26495,0.1255
29,0.2416,0.30365,0.3043,0.15045
30,0.18515,0.2943,0.3381,0.18245
31,0.13835,0.27455,0.368,0.2191
32,0.10235,0.2452,0.39355,0.2589
33,0.07445,0.2142,0.40915,0.3022
34,0.0534,0.18375,0.4114,0.35145
35,0.0398,0.15225,0.40935,0.3986
36,0.0319,0.12425,0.3966,0.44725
37,0.0247,0.10265,0.37835,0.4943
38,0.02175,0.08165,0.36165,0.53495
39,0.01945,0.0653,0.336,0.57925
40,0.0181,0.0511,0.31105,0.61975
41,0.0167,0.0421,0.2845,0.6567
42,0.0161,0.03455,0.25685,0.6925
43,0.01555,0.0282,0.2324,0.72385
44,0.01635,0.02345,0.20975,0.75045
45,0.0169,0.0187,0.18805,0.77635
46,0.01735,0.01625,0.1675,0.7989
47,0.01825,0.01435,0.1491,0.8183
48,0.01955,0.0122,0.1323,0.83595
49,0.0215,0.01015,0.1177,0.85065
50,0.02405,0.0086,0.10265,0.8647
51,0.02585,0.00755,0.09095,0.87565
52,0.0275,0.00785,0.0791,0.88555
53,0.02915,0.00735,0.06935,0.89415
54,0.0305,0.00655,0.06185,0.9011
55,0.03165,0.0062,0.05515,0.907
56,0.0344,0.00545,0.0483,0.91185
57,0.0364,0.0056,0.0427,0.9153
58,0.039,0.0056,0.03765,0.91775
59,0.0409,0.00515,0.03285,0.9211
60,0.0439,0.00445,0.02965,0.922
61,0.04695,0.00435,0.02555,0.92315
62,0.0492,0.00435,0.02265,0.9238
63,0.0518,0.0039,0.0198,0.9245
64,0.0547,0.0033,0.0182,0.9238
65,0.058,0.0033,0.01645,0.92225
66,0.0607,0.00305,0.0148,0.92145
67,0.06375,0.00295,0.01295,0.92035
68,0.06725,0.00275,0.0116,0.9184
69,0.0697,0.0029,0.01025,0.91715
70,0.0719,0.0029,0.00925,0.91595
71,0.07495,0.00245,0.00885,0.91375
