step,S,E,I,R
0,1,0,0.001,0
1,0.99905,0.00095,0.001,0
2,0.9977,0.00185,0.00125,1e-04
3,0.99625,0.0027,0.00155,2e-04
4,0.9951,0.0031,0.00205,4e-04
5,0.99405,0.00325,0.0026,0.00065
6,0.99205,0.00445,0.00265,0.0011
7,0.9902,0.0051,0.00355,0.0014
8,0.9877,0.0062,0.00435,0.002
9,0.9846,0.00745,0.00555,0.0026
10,0.98045,0.01,0.0065,0.00325
11,0.97605,0.01145,0.00855,0.00415
12,0.9692,0.01495,0.01105,0.005
13,0.9601,0.0195,0.0143,0.0063
14,0.94985,0.02415,0.0177,0.00845
15,0.93595,0.03085,0.02265,0.0107
16,0.9198,0.03835,0.0286,0.0133
17,0.89985,0.0481,0.03505,0.01705
18,0.874,0.06075,0.043,0.0223
19,0.8449,0.0727,0.0539,0.02855
20,0.80845,0.0893,0.06665,0.03565
21,0.767,0.10805,0.0811,0.0439
22,0.7189,0.1264,0.1005,0.05425
23,0.663,0.14575,0.1241,0.0672
24,0.6033,0.165,0.14865,0.0831
25,0.537,0.18365,0.176,0.1034
26,0.4652,0.20305,0.2053,0.1265
27,0.39695,0.214,0.237,0.1521
28,0.32845,0.22105,0.2665,0.184
29,0.2652,0.2226,0.29565,0.21655
30,0.2126,0.20885,0.32305,0.2555
31,0.16425,0.2008,0.3354,0.29955
32,0.12805,0.1823,0.3489,0.34075
33,0.0972,0.1629,0.3512,0.3887
34,0.0749,0.13995,0.3527,0.43245
35,0.05855,0.11785,0.34615,0.47745
36,0.0457,0.099,0.3328,0.5225
37,0.03695,0.08095,0.3172,0.5649
38,0.0312,0.0636,0.29795,0.60725
39,0.0257,0.0538,0.27665,0.64385
40,0.02255,0.04285,0.2557,0.6789
41,0.02065,0.0357,0.23125,0.7124
42,0.0194,0.0294,0.2101,0.7411
43,0.0186,0.02425,0.1884,0.76875
44,0.0186,0.0198,0.1732,0.7884
45,0.01995,0.0159,0.1567,0.80745
46,0.0204,0.01315,0.1399,0.82655
47,0.02085,0.01185,0.12445,0.84285
48,0.02155,0.0102,0.1116,0.85665
49,0.0229,0.009,0.0974,0.8707
50,0.02415,0.0078,0.0867,0.88135
51,0.026,0.0068,0.07825,0.88895
52,0.0272,0.0063,0.06965,0.89685
53,0.02875,0.00575,0.06125,0.90425
54,0.031,0.0054,0.0551,0.9085
55,0.03365,0.00495,0.049,0.9124
56,0.03615,0.0044,0.04315,0.9163
57,0.03775,0.00445,0.03855,0.91925
58,0.0401,0.0041,0.03425,0.92155
59,0.04245,0.00395,0.0307,0.9229
60,0.0445,0.0039,0.02765,0.92395
61,0.04665,0.0038,0.0247,0.92485
62,0.04935,0.00315,0.02195,0.92555
63,0.05175,0.00295,0.01995,0.92535
64,0.05415,0.00295,0.01785,0.92505
65,0.05665,0.00265,0.01655,0.92415
66,0.05915,0.0026,0.01515,0.9231
67,0.06185,0.00265,0.0137,0.9218
68,0.0647,0.0023,0.01295,0.92005
69,0.0669,0.0022,0.01165,0.91925
70,0.06985,0.00215,0.0106,0.9174
71,0.07295,0.0018,0.00945,0.9158
72,0.0758,0.0021,0.0083,0.9138
73,0.07845,0.00195,0.00795,0.91165
74,0.08045,0.0019,0.0075,0.91015
75,0.08365,0.0018,0.0069,0.90765
76,0.08655,0.00195,0.00625,0.90525
77,0.08975,0.00175,0.006,0.9025
78,0.0917,0.00165,0.0059,0.90075
79,0.094,0.0014,0.0057,0.8989
80,0.09675,0.00145,0.00505,0.89675
