step,S,E,I,R
0,0.999,0,0.001,0
1,0.999,0,0.001,0
2,0.999,0,0.001,0
3,1,0,0,0
4,0.9968,0.0032,0,0
5,0.9968,0.0027,5e-04,0
6,0.99455,0.00415,0.0012,1e-04
7,0.99455,0.0032,0.00205,2e-04
8,0.9898,0.007,0.00265,0.00055
9,0.9898,0.0057,0.0037,8e-04
10,0.9831,0.01095,0.0049,0.00105
11,0.9831,0.0091,0.0064,0.0014
12,0.9726,0.01735,0.00785,0.0022
13,0.9726,0.0141,0.0102,0.0031
14,0.9574,0.02495,0.0134,0.00425
15,0.9574,0.01975,0.01725,0.0056
16,0.9279,0.044,0.02075,0.00735
17,0.9279,0.0358,0.0259,0.0104
18,0.8851,0.06835,0.03355,0.013
19,0.88515,0.05355,0.0441,0.0172
20,0.8188,0.10565,0.0533,0.02225
21,0.81885,0.08495,0.06745,0.02875
22,0.72345,0.1568,0.0843,0.03545
23,0.72345,0.1233,0.1078,0.04545
24,0.59765,0.21495,0.1295,0.0579
25,0.59765,0.171,0.15845,0.0729
26,0.4473,0.2752,0.1862,0.0913
27,0.4474,0.21595,0.2236,0.11305
28,0.2998,0.3053,0.25545,0.13945
29,0.30005,0.23805,0.29095,0.17095
30,0.1737,0.2981,0.32555,0.20265
31,0.17375,0.23185,0.3563,0.2381
32,0.0888,0.25365,0.3774,0.28015
33,0.0893,0.1913,0.3948,0.3246
34,0.0426,0.1845,0.39865,0.37425
35,0.0432,0.13925,0.39785,0.4197
36,0.0214,0.12155,0.39075,0.4663
37,0.02245,0.0903,0.3734,0.51385
38,0.01185,0.0764,0.35165,0.5601
39,0.0128,0.0571,0.32785,0.60225
40,0.0084,0.0449,0.3045,0.6422
41,0.0093,0.03325,0.278,0.67945
42,0.00715,0.0266,0.25105,0.7152
43,0.00875,0.0216,0.2245,0.74515
44,0.0087,0.01845,0.19765,0.7752
45,0.01115,0.0137,0.17845,0.7967
46,0.01145,0.01245,0.1591,0.817
47,0.01325,0.0103,0.14025,0.8362
48,0.01285,0.0095,0.1227,0.85495
49,0.01555,0.008,0.1093,0.86715
50,0.01585,0.008,0.09625,0.8799
51,0.01835,0.00705,0.08435,0.89025
52,0.019,0.0065,0.07685,0.89765
53,0.0219,0.00585,0.06685,0.9054
54,0.0229,0.00615,0.0591,0.91185
55,0.0267,0.00505,0.05315,0.9151
56,0.0274,0.00575,0.0466,0.92025
57,0.0309,0.00555,0.0413,0.92225
58,0.03225,0.00545,0.03655,0.92575
59,0.03445,0.0047,0.0331,0.92775
60,0.03585,0.0053,0.0292,0.92965
61,0.0395,0.00475,0.0262,0.92955
62,0.0402,0.00525,0.0238,0.93075
63,0.0438,0.00455,0.0218,0.92985
64,0.0456,0.00455,0.0197,0.93015
65,0.0497,0.004,0.01805,0.92825
66,0.05095,0.00385,0.0166,0.9286
67,0.05545,0.00365,0.0153,0.9256
68,0.057,0.0033,0.0142,0.9255
69,0.0607,0.00355,0.01255,0.9232
70,0.06155,0.00355,0.01175,0.92315
71,0.0659,0.0031,0.0105,0.9205
72,0.06805,0.0029,0.00955,0.9195
73,0.07195,0.0028,0.00895,0.9163
74,0.07385,0.00285,0.00805,0.91525
75,0.07775,0.0027,0.0075,0.91205
76,0.07915,0.0027,0.0071,0.91105
77,0.083,0.00235,0.00635,0.9083
78,0.08455,0.00235,0.00625,0.90685
79,0.0888,0.002,0.00625,0.90295
80,0.0902,0.0028,0.00575,0.90125
81,0.09345,0.0022,0.0057,0.89865
82,0.0946,0.0023,0.00585,0.89725
83,0.0981,0.00205,0.00525,0.8946
84,0.09955,0.0024,0.0051,0.89295
85,0.1025,0.0022,0.00475,0.89055
86,0.10435,0.0024,0.00465,0.8886
87,0.1085,0.00225,0.00455,0.8847
88,0.11075,0.0023,0.00445,0.8825
89,0.11495,0.00205,0.00455,0.87845
90,0.11755,0.00205,0.00425,0.87615
91,0.121,0.0018,0.0044,0.8728
92,0.1227,0.002,0.00445,0.87085
93,0.1255,0.00195,0.0045,0.86805
94,0.12685,0.00195,0.0044,0.8668
95,0.1294,0.00175,0.0046,0.86425
96,0.13165,0.00185,0.00485,0.86165
97,0.1346,0.00165,0.00475,0.859
98,0.13595,0.0019,0.00445,0.8577
99,0.1393,0.00175,0.00445,0.8545
100,0.1413,0.00225,0.004,0.85245
101,0.14365,0.00205,0.00405,0.85025
102,0.1451,0.00165,0.0047,0.84855
103,0.14705,0.00195,0.0044,0.8466
104,0.1493,0.00215,0.00425,0.8443
105,0.1517,0.0022,0.0042,0.8419
106,0.154,0.00255,0.0041,0.83935
107,0.15685,0.00225,0.0042,0.8367
108,0.1577,0.00255,0.00425,0.8355
109,0.1602,0.0028,0.0042,0.8328
110,0.1616,0.0026,0.00465,0.83115
111,0.16425,0.00265,0.00485,0.82825
112,0.16535,0.0029,0.00495,0.8268
113,0.1673,0.0029,0.00485,0.82495
114,0.1685,0.0027,0.005,0.8238
115,0.17085,0.0029,0.00475,0.8215
116,0.1717,0.00325,0.0047,0.82035
117,0.1738,0.0031,0.0047,0.8184
118,0.17515,0.00325,0.00485,0.81675
119,0.17805,0.0028,0.0048,0.81435
120,0.179,0.0034,0.0047,0.8129
121,0.1809,0.0027,0.0057,0.8107
122,0.182,0.00305,0.0056,0.80935
123,0.1841,0.0031,0.00555,0.80725
124,0.18465,0.0036,0.006,0.80575
125,0.18645,0.00335,0.0061,0.8041
126,0.1873,0.00455,0.00555,0.8026
127,0.1898,0.00445,0.0056,0.80015
128,0.191,0.00435,0.0062,0.79845
129,0.19375,0.00405,0.00645,0.79575
130,0.19445,0.0042,0.0065,0.79485
131,0.1965,0.0047,0.00685,0.79195
132,0.19725,0.00525,0.00705,0.79045
133,0.19875,0.0056,0.00745,0.7882
134,0.20025,0.00525,0.0077,0.7868
135,0.20245,0.0046,0.00815,0.7848
136,0.2026,0.0055,0.00845,0.78345
137,0.2044,0.00545,0.00905,0.7811
138,0.2042,0.00635,0.00945,0.78
139,0.2056,0.0063,0.0092,0.7789
140,0.20595,0.00715,0.0088,0.7781
141,0.20695,0.0067,0.00975,0.7766
142,0.20725,0.0072,0.01005,0.7755
143,0.2083,0.0065,0.01055,0.77465
144,0.208,0.00735,0.01085,0.7738
145,0.2091,0.0075,0.01155,0.77185
146,0.2088,0.0086,0.0112,0.7714
147,0.20995,0.00825,0.01215,0.76965
148,0.2091,0.0091,0.0131,0.7687
149,0.21005,0.00865,0.013,0.7683
150,0.2089,0.0097,0.01325,0.76815
151,0.20985,0.00885,0.01445,0.76685
152,0.20905,0.0095,0.0152,0.76625
153,0.20945,0.01015,0.0157,0.7647
154,0.2078,0.0106,0.01695,0.76465
155,0.20745,0.0109,0.0179,0.76375
156,0.2045,0.0131,0.01845,0.76395
157,0.2041,0.01355,0.01925,0.7631
158,0.2013,0.0149,0.01995,0.76385
159,0.2007,0.01435,0.0218,0.76315
160,0.19835,0.01585,0.02225,0.76355
161,0.19845,0.0149,0.0237,0.76295
162,0.19505,0.0163,0.02475,0.7639
163,0.19495,0.0163,0.02525,0.7635
164,0.1912,0.0176,0.0261,0.7651
165,0.19075,0.0165,0.0278,0.76495
166,0.18595,0.0189,0.0287,0.76645
167,0.18465,0.01845,0.02855,0.76835
168,0.18145,0.0194,0.03,0.76915
169,0.18035,0.0191,0.0307,0.76985
170,0.17655,0.01905,0.0321,0.7723
171,0.17505,0.01865,0.0327,0.7736
172,0.16995,0.0205,0.03255,0.777
173,0.16905,0.0206,0.03285,0.7775
174,0.16485,0.02125,0.03405,0.77985
175,0.16555,0.02,0.03475,0.7797
176,0.16105,0.02195,0.03675,0.78025
177,0.1611,0.0213,0.03685,0.78075
