step,S,E,I,R
0,0.999,0,0.001,0
1,0.99805,0.00095,0.001,0
2,0.9974,0.00145,0.00115,0
3,0.9965,0.00185,0.00155,1e-04
4,0.9955,0.0022,0.0019,4e-04
5,0.9941,0.0029,0.00255,0.00045
6,0.9921,0.00405,0.003,0.00085
7,0.98965,0.0051,0.00395,0.0013
8,0.9869,0.00615,0.00525,0.0017
9,0.98195,0.00975,0.006,0.0023
10,0.97705,0.0123,0.0076,0.00305
11,0.97155,0.0141,0.0101,0.00425
12,0.96385,0.01835,0.0117,0.0061
13,0.9555,0.0216,0.01555,0.00735
14,0.9443,0.02715,0.0191,0.00945
15,0.92975,0.03395,0.02385,0.01245
16,0.91405,0.0403,0.0303,0.01535
17,0.89275,0.0499,0.0376,0.01975
18,0.8674,0.061,0.0468,0.0248
19,0.83505,0.07555,0.058,0.0314
20,0.79695,0.0932,0.07135,0.0385
21,0.7553,0.1085,0.08755,0.04865
22,0.7049,0.12855,0.10695,0.0596
23,0.64815,0.14625,0.13145,0.07415
24,0.58545,0.1669,0.1565,0.09115
25,0.51665,0.18875,0.1819,0.1127
26,0.45105,0.2053,0.20745,0.1362
27,0.3853,0.2137,0.2383,0.1627
28,0.3219,0.21685,0.26935,0.1919
29,0.26315,0.21435,0.29595,0.22655
30,0.2091,0.20805,0.3132,0.26965
31,0.1671,0.19095,0.33305,0.3089
32,0.13215,0.17215,0.345,0.3507
33,0.1025,0.155,0.34675,0.39575
34,0.07835,0.1353,0.34705,0.4393
35,0.0606,0.1152,0.3412,0.483
36,0.04755,0.0972,0.3272,0.52805
37,0.0375,0.0807,0.31125,0.57055
38,0.0319,0.06675,0.29215,0.6092
39,0.02795,0.05475,0.27075,0.64655
40,0.02425,0.04385,0.25045,0.68145
41,0.02205,0.03575,0.2309,0.7113
42,0.0215,0.0288,0.212,0.7377
43,0.021,0.0232,0.19095,0.76485
44,0.02165,0.01845,0.1722,0.7877
45,0.022,0.01495,0.1536,0.80945
46,0.0222,0.01225,0.138,0.82755
47,0.0237,0.01045,0.1217,0.84415
48,0.0243,0.0087,0.10815,0.85885
49,0.02695,0.00815,0.09585,0.86905
50,0.02785,0.0074,0.0851,0.87965
51,0.02815,0.0077,0.0751,0.88905
52,0.03025,0.0067,0.06605,0.897
53,0.0329,0.006,0.05975,0.90135
54,0.035,0.00555,0.05285,0.9066
55,0.03595,0.0056,0.04685,0.9116
56,0.03845,0.00515,0.04305,0.91335
57,0.03995,0.0047,0.0394,0.91595
58,0.04235,0.0041,0.0353,0.91825
59,0.0438,0.00415,0.0314,0.92065
60,0.04645,0.0037,0.02815,0.9217
61,0.04935,0.0033,0.02525,0.9221
62,0.0513,0.00335,0.0229,0.92245
63,0.05435,0.00315,0.02075,0.92175
64,0.0564,0.0031,0.01905,0.92145
65,0.0586,0.00285,0.01695,0.9216
66,0.06105,0.00315,0.0148,0.921
67,0.0641,0.003,0.01345,0.91945
68,0.0666,0.0026,0.01245,0.91835
69,0.07035,0.0021,0.01215,0.9154
70,0.07275,0.00225,0.01085,0.91415
71,0.0751,0.00235,0.0101,0.91245
72,0.0782,0.0017,0.00985,0.91025
73,0.07995,0.00165,0.0089,0.9095
74,0.08275,0.0016,0.0081,0.90755
75,0.086,0.00115,0.008,0.90485
76,0.08815,0.0016,0.00655,0.9037
77,0.0909,0.00135,0.00595,0.9018
78,0.09345,0.00145,0.0049,0.9002
79,0.09665,0.00155,0.0042,0.8976
80,0.0999,0.00155,0.00375,0.8948
81,0.1031,0.00155,0.00355,0.8918
82,0.1066,0.00135,0.0033,0.88875
83,0.1096,0.0013,0.0035,0.8856
84,0.11145,0.0012,0.00325,0.8841
85,0.1141,9e-04,0.00325,0.88175
86,0.117,8e-04,0.00285,0.87935
87,0.11975,0.00065,0.0027,0.8769
88,0.1217,9e-04,0.0027,0.8747
89,0.1242,0.00065,0.0026,0.87255
90,0.1268,0.00075,0.0025,0.86995
91,0.1299,0.00095,0.00225,0.8669
92,0.1332,7e-04,0.00225,0.86385
93,0.13625,0.00055,0.00245,0.86075
94,0.13905,0.00085,0.002,0.8581
95,0.1413,7e-04,0.0021,0.8559
96,0.1441,0.00065,0.00205,0.8532
97,0.14665,0.00065,0.0018,0.8509
98,0.14885,7e-04,0.0019,0.84855
99,0.15085,0.00065,0.00195,0.84655
100,0.15365,7e-04,0.0019,0.84375
101,0.15615,0.00075,0.0018,0.8413
102,0.1587,0.00065,0.00185,0.8388
103,0.16135,8e-04,0.0017,0.83615
104,0.16365,8e-04,0.00165,0.8339
105,0.1667,0.00085,0.00155,0.8309
106,0.16835,9e-04,0.0017,0.82905
107,0.171,9e-04,0.00165,0.82645
108,0.17305,0.00095,0.0015,0.8245
109,0.17565,0.00085,0.0015,0.822
110,0.17835,0.00075,0.00175,0.81915
111,0.1803,8e-04,0.0015,0.8174
112,0.18245,0.00065,0.00145,0.81545
113,0.1848,0.00095,0.0014,0.81285
114,0.1867,8e-04,0.00145,0.81105
115,0.1893,0.00105,0.00135,0.8083
116,0.19075,0.00075,0.00165,0.80685
117,0.1928,0.00075,0.0019,0.80455
118,0.195,0.00055,0.0019,0.80255
119,0.1975,5e-04,0.00185,0.80015
120,0.1996,6e-04,0.0019,0.7979
121,0.20095,8e-04,0.00185,0.7964
122,0.20265,7e-04,0.00195,0.7947
123,0.2048,7e-04,0.00185,0.79265
124,0.2073,8e-04,0.0019,0.79
125,0.20925,0.00085,0.0017,0.7882
126,0.2114,0.0013,0.00135,0.78595
127,0.2136,0.00125,0.0014,0.78375
128,0.21535,0.001,0.0017,0.78195
129,0.2173,9e-04,0.0017,0.7801
130,0.21855,0.00105,0.00175,0.77865
131,0.22065,7e-04,0.0019,0.77675
132,0.22295,8e-04,0.0019,0.77435
133,0.2254,0.00075,0.00175,0.7721
134,0.22685,8e-04,0.00175,0.7706
135,0.22845,0.00105,0.0019,0.7686
136,0.23055,0.00125,0.0018,0.7664
137,0.23215,0.0011,0.00185,0.7649
138,0.23355,0.0014,0.0017,0.76335
139,0.2348,0.0017,0.00165,0.76185
140,0.23685,0.0013,0.002,0.75985
141,0.23915,0.0011,0.0022,0.75755
142,0.2405,0.00135,0.0021,0.75605
143,0.24225,0.0013,0.0024,0.75405
144,0.24375,0.0014,0.00235,0.7525
145,0.24595,0.00135,0.00245,0.75025
146,0.2472,0.00145,0.0025,0.74885
147,0.24875,0.0018,0.0026,0.74685
148,0.2502,0.00185,0.00255,0.7454
149,0.25205,0.0015,0.00275,0.7437
150,0.25465,0.00155,0.00245,0.74135
151,0.2557,0.0017,0.0024,0.7402
152,0.2577,0.00155,0.00245,0.7383
153,0.25955,0.0021,0.00255,0.7358
154,0.26095,0.00185,0.0029,0.7343
155,0.26245,0.00195,0.00275,0.73285
156,0.26415,0.0018,0.00285,0.7312
157,0.26585,0.00175,0.00315,0.72925
158,0.2676,0.0019,0.0034,0.7271
159,0.26915,0.00225,0.00325,0.72535
160,0.27125,0.0024,0.00345,0.7229
161,0.2724,0.0026,0.0038,0.7212
162,0.27375,0.0028,0.00395,0.7195
163,0.2753,0.0027,0.0041,0.7179
164,0.27665,0.0027,0.0043,0.71635
165,0.2773,0.0031,0.0043,0.7153
166,0.2786,0.00275,0.0047,0.71395
167,0.2795,0.00315,0.0049,0.71245
168,0.2806,0.00335,0.0053,0.71075
169,0.2816,0.0036,0.00555,0.70925
170,0.2822,0.0037,0.00595,0.70815
171,0.28255,0.0041,0.00595,0.7074
172,0.28325,0.0043,0.00605,0.7064
173,0.2843,0.00395,0.0069,0.70485
174,0.28395,0.00535,0.007,0.7037
175,0.2849,0.00495,0.00775,0.7024
176,0.28525,0.00545,0.00785,0.70145
177,0.2855,0.0055,0.00895,0.70005
178,0.285,0.0062,0.0095,0.6993
179,0.28435,0.0068,0.0101,0.69875
180,0.28595,0.0062,0.01055,0.6973
181,0.286,0.00645,0.011,0.69655
182,0.28615,0.00685,0.0112,0.6958
183,0.28585,0.00705,0.0113,0.6958
184,0.28615,0.00635,0.012,0.6955
185,0.2857,0.0067,0.01265,0.69495
186,0.28615,0.00695,0.01265,0.69425
187,0.2856,0.0074,0.0133,0.6937
188,0.2851,0.00835,0.01365,0.6929
189,0.2837,0.00965,0.0145,0.69215
190,0.28265,0.0099,0.015,0.69245
191,0.282,0.0097,0.0153,0.693
192,0.28,0.0102,0.01625,0.69355
193,0.2782,0.01105,0.0168,0.69395
194,0.2769,0.0109,0.0179,0.6943
195,0.2751,0.01135,0.01865,0.6949
196,0.2736,0.01185,0.0193,0.69525
197,0.2709,0.01365,0.01915,0.6963
198,0.26915,0.0142,0.02005,0.6966
199,0.2671,0.01425,0.0218,0.69685
200,0.2655,0.0144,0.0225,0.6976
201,0.2639,0.0143,0.02365,0.69815
202,0.2616,0.01535,0.0244,0.69865
203,0.2595,0.01545,0.0253,0.69975
204,0.2568,0.01555,0.02675,0.7009
205,0.2537,0.01705,0.0277,0.70155
206,0.24955,0.0181,0.0289,0.70345
207,0.24635,0.0192,0.02945,0.705
208,0.24225,0.01945,0.03235,0.70595
209,0.2381,0.0207,0.0338,0.7074
210,0.23585,0.0204,0.03475,0.709
211,0.2315,0.02145,0.0362,0.71085
212,0.22665,0.0225,0.0382,0.71265
213,0.22355,0.02125,0.03955,0.71565
214,0.2198,0.0211,0.0403,0.7188
215,0.21605,0.02055,0.04085,0.72255
216,0.21205,0.0212,0.0413,0.72545
217,0.20685,0.0222,0.0412,0.72975
218,0.2025,0.02215,0.04335,0.732
219,0.2001,0.02165,0.044,0.73425
220,0.1949,0.02335,0.0448,0.73695
221,0.18875,0.0242,0.04665,0.7404
222,0.18495,0.02455,0.04625,0.74425
223,0.1805,0.02445,0.04705,0.748
224,0.17705,0.02435,0.0484,0.7502
225,0.17355,0.02425,0.0488,0.7534
226,0.16905,0.02475,0.0487,0.7575
227,0.1661,0.02365,0.04885,0.7614
228,0.16275,0.02305,0.0486,0.7656
229,0.1594,0.02255,0.04895,0.7691
230,0.15605,0.02255,0.04815,0.77325
231,0.15345,0.02235,0.0477,0.7765
232,0.1523,0.0202,0.04785,0.77965
233,0.14985,0.0197,0.04705,0.7834
234,0.14875,0.0189,0.04645,0.7859
235,0.1469,0.01835,0.0469,0.78785
236,0.14485,0.0184,0.04515,0.7916
237,0.144,0.01795,0.04305,0.795
238,0.1434,0.01735,0.04255,0.7967
239,0.14195,0.0162,0.04205,0.7998
240,0.14125,0.01595,0.0417,0.8011
241,0.1401,0.01575,0.04075,0.8034
242,0.13875,0.01655,0.03885,0.80585
243,0.13935,0.01575,0.03765,0.80725
244,0.1387,0.01505,0.0373,0.80895
245,0.13985,0.01495,0.036,0.8092
246,0.1398,0.0146,0.0349,0.8107
247,0.1399,0.0144,0.0347,0.811
248,0.1393,0.01495,0.03335,0.8124
249,0.1398,0.01345,0.03295,0.8138
250,0.1404,0.01335,0.03235,0.8139
251,0.14065,0.01425,0.0312,0.8139
252,0.14305,0.013,0.03095,0.813
253,0.14375,0.0126,0.03005,0.8136
254,0.1445,0.0131,0.0291,0.8133
255,0.14605,0.01265,0.029,0.8123
256,0.14705,0.012,0.0289,0.81205
257,0.14745,0.01285,0.02775,0.81195
258,0.1491,0.0127,0.0267,0.8115
259,0.15005,0.01295,0.02565,0.81135
260,0.1519,0.01165,0.0265,0.80995
261,0.1522,0.01225,0.0258,0.80975
262,0.1531,0.01215,0.0259,0.80885
263,0.1532,0.01255,0.02515,0.8091
264,0.1543,0.0129,0.0242,0.8086
265,0.15465,0.01205,0.02465,0.80865
266,0.156,0.01095,0.02545,0.8076
267,0.1581,0.01055,0.0243,0.80705
268,0.1608,0.0098,0.02385,0.80555
269,0.16175,0.01015,0.02365,0.80445
270,0.16265,0.01075,0.0235,0.8031
271,0.1642,0.0107,0.0225,0.8026
272,0.1659,0.0107,0.0221,0.8013
273,0.1675,0.0105,0.0214,0.8006
274,0.1685,0.01025,0.0217,0.79955
275,0.1702,0.0097,0.02155,0.79855
276,0.17085,0.0101,0.02155,0.7975
277,0.1723,0.0103,0.0202,0.7972
278,0.1736,0.01035,0.0197,0.79635
279,0.17515,0.00975,0.0199,0.7952
280,0.17725,0.00945,0.02015,0.79315
281,0.17905,0.00885,0.0198,0.7923
282,0.1814,0.0084,0.01975,0.79045
283,0.1838,0.0087,0.0198,0.7877
284,0.18505,0.0087,0.02,0.78625
285,0.1858,0.0089,0.01965,0.78565
286,0.1876,0.00935,0.01975,0.7833
287,0.18975,0.00995,0.0197,0.7806
288,0.19105,0.0104,0.01965,0.7789
289,0.19285,0.00995,0.02055,0.77665
290,0.1945,0.01075,0.02005,0.7747
291,0.19565,0.0108,0.0194,0.77415
292,0.19825,0.01085,0.0196,0.7713
293,0.20095,0.01055,0.0198,0.7687
294,0.2024,0.0096,0.02025,0.76775
295,0.2027,0.0109,0.01985,0.76655
296,0.203,0.0106,0.0207,0.7657
297,0.20355,0.01075,0.0211,0.7646
298,0.20525,0.00985,0.02145,0.76345
299,0.207,0.0095,0.02165,0.76185
300,0.20795,0.0106,0.02075,0.7607
301,0.2083,0.01035,0.02085,0.7605
302,0.2108,0.01055,0.02035,0.7583
303,0.21145,0.01125,0.01975,0.75755
304,0.21275,0.01055,0.0204,0.7563
305,0.21255,0.01135,0.0208,0.7553
306,0.213,0.0112,0.02125,0.75455
307,0.21365,0.0115,0.0209,0.75395
308,0.21445,0.01165,0.0212,0.7527
309,0.2159,0.01135,0.0216,0.75115
310,0.2166,0.01165,0.02135,0.7504
311,0.21665,0.012,0.0221,0.74925
312,0.21755,0.01205,0.0233,0.7471
313,0.2183,0.0122,0.0233,0.7462
314,0.2182,0.0132,0.02295,0.74565
315,0.2178,0.014,0.0234,0.7448
316,0.2194,0.0138,0.024,0.7428
317,0.2208,0.01345,0.0248,0.74095
318,0.22115,0.0146,0.02435,0.7399
319,0.22125,0.0148,0.02515,0.7388
320,0.2205,0.01585,0.026,0.73765
321,0.2191,0.01655,0.0269,0.73745
322,0.21935,0.0158,0.0284,0.73645
323,0.2191,0.0157,0.029,0.7362
324,0.21795,0.01665,0.02985,0.73555
325,0.21755,0.0166,0.02965,0.7362
326,0.2158,0.01715,0.0314,0.73565
327,0.21475,0.0176,0.03175,0.7359
328,0.2134,0.0177,0.03345,0.73545
329,0.21195,0.01865,0.0329,0.7365
330,0.2111,0.01925,0.0327,0.73695
331,0.20935,0.0184,0.03455,0.7377
332,0.20885,0.01815,0.03565,0.73735
333,0.20845,0.01855,0.03535,0.73765
334,0.2062,0.0195,0.03555,0.73875
335,0.20535,0.0195,0.03715,0.738
