step,S,E,I,R
0,0.999,0,0.001,0
1,0.9986,4e-04,0.001,0
2,0.99805,0.00075,0.00115,5e-05
3,0.9971,0.0014,0.0013,2e-04
4,0.99645,0.00165,0.00135,0.00055
5,0.99505,0.00255,0.00155,0.00085
6,0.99365,0.0033,0.0021,0.00095
7,0.9916,0.00435,0.00275,0.0013
8,0.9893,0.00535,0.00375,0.0016
9,0.9857,0.00695,0.0055,0.00185
10,0.9813,0.0094,0.0066,0.0027
11,0.97515,0.0134,0.0075,0.00395
12,0.9685,0.0158,0.0108,0.0049
13,0.9596,0.02075,0.0131,0.00655
14,0.9484,0.0261,0.017,0.0085
15,0.9349,0.0312,0.02265,0.01125
16,0.91505,0.0426,0.0285,0.01385
17,0.892,0.05345,0.0367,0.01785
18,0.86485,0.0656,0.04675,0.0228
19,0.82925,0.0824,0.05975,0.0286
20,0.78725,0.10175,0.07415,0.03685
21,0.73765,0.1219,0.09365,0.0468
22,0.6818,0.14415,0.11445,0.0596
23,0.61485,0.16755,0.14345,0.07415
24,0.54385,0.19345,0.1704,0.0923
25,0.46665,0.214,0.20625,0.1131
26,0.39235,0.23045,0.23665,0.14055
27,0.32335,0.2336,0.2708,0.17225
28,0.2601,0.2327,0.29835,0.20885
29,0.20505,0.22405,0.3225,0.2484
30,0.1573,0.2079,0.3443,0.2905
31,0.1206,0.1857,0.3578,0.3359
32,0.09305,0.16275,0.3647,0.3795
33,0.0702,0.1411,0.36,0.4287
34,0.05335,0.1181,0.35445,0.4741
35,0.0425,0.09765,0.3417,0.51815
36,0.03445,0.0778,0.3233,0.56445
37,0.029,0.06185,0.30395,0.6052
38,0.02425,0.0496,0.28045,0.6457
39,0.0224,0.03905,0.2586,0.67995
40,0.02045,0.0328,0.2335,0.71325
41,0.01965,0.0264,0.2116,0.74235
42,0.01905,0.0211,0.191,0.76885
43,0.0179,0.01785,0.1709,0.79335
44,0.0187,0.014,0.1527,0.8146
45,0.01985,0.01135,0.1353,0.8335
46,0.0203,0.0095,0.11985,0.85035
47,0.0224,0.0081,0.1047,0.8648
48,0.025,0.00715,0.0925,0.87535
49,0.02665,0.00675,0.08325,0.88335
50,0.02795,0.00615,0.0738,0.8921
51,0.0305,0.0049,0.06485,0.89975
52,0.03245,0.00535,0.0566,0.9056
53,0.03435,0.0052,0.05105,0.9094
54,0.03625,0.00475,0.0466,0.9124
55,0.03845,0.00415,0.0412,0.9162
56,0.04045,0.004,0.03605,0.9195
57,0.04235,0.00435,0.0316,0.9217
58,0.0454,0.00415,0.0282,0.92225
59,0.0474,0.00355,0.0259,0.92315
60,0.04885,0.0039,0.023,0.92425
61,0.05175,0.00375,0.02045,0.92405
62,0.05385,0.00325,0.01835,0.92455
63,0.05625,0.0037,0.0164,0.92365
64,0.059,0.00315,0.01485,0.923
65,0.06075,0.00325,0.01325,0.92275
66,0.06395,0.0027,0.01235,0.921
67,0.0661,0.0025,0.01135,0.92005
68,0.0694,0.0019,0.01035,0.91835
69,0.07145,0.00225,0.00965,0.91665
70,0.0736,0.00225,0.009,0.91515
71,0.0762,0.00175,0.0086,0.91345
72,0.07885,0.00175,0.008,0.9114
73,0.08125,0.00175,0.0075,0.9095
74,0.0838,0.0014,0.00695,0.90785
75,0.08625,0.0013,0.0064,0.90605
76,0.08985,0.00125,0.0061,0.9028
77,0.0927,0.0016,0.00535,0.90035
78,0.09545,0.00125,0.0054,0.8979
79,0.09815,0.00125,0.00475,0.89585
80,0.10045,0.00125,0.0048,0.8935
81,0.10295,0.0013,0.0042,0.89155
82,0.1054,0.001,0.0041,0.8895
83,0.10845,0.0011,0.00385,0.8866
84,0.1108,0.0011,0.0037,0.8844
85,0.11395,0.0011,0.00365,0.8813
86,0.11695,0.00105,0.00345,0.87855
87,0.1187,0.00125,0.003,0.87705
88,0.1218,0.00105,0.00275,0.8744
89,0.1234,0.001,0.00255,0.87305
90,0.12525,0.00125,0.00245,0.87105
91,0.1282,0.00095,0.0024,0.86845
92,0.13095,0.00085,0.00215,0.86605
93,0.1335,9e-04,0.0021,0.8635
94,0.1359,8e-04,0.00235,0.86095
95,0.1382,8e-04,0.0022,0.8588
96,0.14035,8e-04,0.0019,0.85695
97,0.1427,8e-04,0.00195,0.85455
98,0.14465,0.00105,0.00185,0.85245
99,0.1471,0.00105,0.0018,0.85005
100,0.1496,0.00085,0.00195,0.8476
101,0.15155,8e-04,0.00205,0.8456
102,0.154,6e-04,0.00185,0.84355
103,0.1563,0.00035,0.0019,0.84145
104,0.15885,4e-04,0.0017,0.83905
105,0.1613,0.00055,0.0013,0.83685
106,0.16355,0.00055,0.0014,0.8345
107,0.1667,0.00055,0.00135,0.8314
108,0.16865,4e-04,0.0014,0.82955
109,0.17075,6e-04,0.0012,0.82745
110,0.17335,0.00065,0.0011,0.8249
111,0.17545,0.00075,0.0011,0.8227
112,0.1778,6e-04,0.0011,0.8205
113,0.1806,0.00045,0.00115,0.8178
114,0.1826,4e-04,0.0011,0.8159
115,0.18495,0.00045,0.00105,0.81355
116,0.1879,0.00055,0.001,0.81055
117,0.1901,0.00065,0.001,0.80825
118,0.19215,7e-04,0.001,0.80615
119,0.1944,9e-04,9e-04,0.8038
120,0.19705,6e-04,0.0011,0.80125
121,0.1993,6e-04,9e-04,0.7992
122,0.20235,0.00055,9e-04,0.7962
123,0.2052,0.00045,0.00085,0.7935
124,0.20835,4e-04,0.00085,0.7904
125,0.21015,6e-04,0.00075,0.7885
126,0.2123,0.00085,0.00075,0.7861
127,0.2146,0.00085,0.00085,0.7837
128,0.21675,0.00075,0.001,0.7815
129,0.2186,5e-04,0.00135,0.77955
130,0.2208,6e-04,0.00145,0.77715
131,0.22295,7e-04,0.00135,0.775
132,0.2248,6e-04,0.00165,0.77295
133,0.22665,6e-04,0.00155,0.7712
134,0.2289,0.00075,0.0016,0.76875
135,0.23065,0.00085,0.00165,0.76685
136,0.23205,7e-04,0.0017,0.76555
137,0.23405,9e-04,0.0016,0.76345
138,0.23645,0.00075,0.00145,0.76135
139,0.2385,4e-04,0.0016,0.7595
140,0.2403,0.00065,0.00145,0.7576
141,0.2422,5e-04,0.00145,0.75585
142,0.24475,7e-04,0.0014,0.75315
143,0.2463,7e-04,0.0016,0.7514
144,0.24795,0.00095,0.0016,0.7495
145,0.2499,0.0011,0.0016,0.7474
146,0.25165,0.0013,0.00175,0.7453
147,0.25355,0.0012,0.0018,0.74345
148,0.2555,0.00105,0.0019,0.74155
149,0.2567,0.00125,0.0018,0.74025
150,0.25815,0.00155,0.00185,0.73845
151,0.25975,0.00155,0.0019,0.7368
152,0.26185,0.0015,0.00195,0.7347
153,0.26355,0.00175,0.002,0.7327
154,0.26485,0.00155,0.0024,0.7312
155,0.2673,0.00155,0.00255,0.7286
156,0.2687,0.00165,0.0027,0.72695
157,0.2701,0.00215,0.0027,0.72505
158,0.2718,0.00225,0.003,0.72295
159,0.27275,0.0028,0.0031,0.72135
160,0.27435,0.00275,0.00325,0.71965
161,0.27545,0.00225,0.0038,0.7185
162,0.27665,0.0026,0.0038,0.71695
163,0.27785,0.00295,0.0038,0.7154
164,0.27955,0.003,0.0041,0.71335
165,0.28115,0.0031,0.00445,0.7113
166,0.28195,0.0031,0.00495,0.71
167,0.28275,0.00365,0.0049,0.7087
168,0.284,0.0039,0.005,0.7071
169,0.2857,0.0035,0.00545,0.70535
170,0.287,0.0039,0.0053,0.7038
171,0.2875,0.0038,0.0058,0.7029
172,0.2886,0.0039,0.00605,0.70145
173,0.28945,0.0045,0.006,0.70005
174,0.29065,0.0043,0.00665,0.6984
175,0.2912,0.00485,0.0066,0.69735
176,0.29175,0.0053,0.00695,0.696
177,0.2915,0.0059,0.00745,0.69515
178,0.29125,0.0063,0.0075,0.69495
179,0.2909,0.006,0.0086,0.6945
180,0.2908,0.0068,0.0091,0.6933
181,0.2903,0.0072,0.01,0.6925
182,0.29065,0.0077,0.0108,0.69085
183,0.29035,0.0082,0.0118,0.68965
184,0.29015,0.00845,0.0134,0.688
185,0.28915,0.00955,0.01415,0.68715
186,0.28775,0.01035,0.0143,0.6876
187,0.28555,0.01165,0.0155,0.6873
188,0.28455,0.01095,0.01755,0.68695
189,0.283,0.0117,0.01825,0.68705
190,0.28075,0.01235,0.01915,0.68775
191,0.27895,0.0123,0.02045,0.6883
192,0.27615,0.01365,0.02205,0.68815
193,0.2723,0.01645,0.0228,0.68845
194,0.26955,0.0157,0.0249,0.68985
195,0.2661,0.0158,0.0264,0.6917
196,0.26325,0.0165,0.02775,0.6925
197,0.25895,0.01785,0.0292,0.694
198,0.25485,0.01845,0.03105,0.69565
199,0.25045,0.0206,0.03115,0.6978
200,0.24545,0.02095,0.0327,0.7009
201,0.24145,0.022,0.0341,0.70245
202,0.23615,0.02315,0.03555,0.70515
203,0.2323,0.0221,0.03765,0.70795
204,0.22795,0.02325,0.03765,0.71115
205,0.2233,0.0243,0.03845,0.71395
206,0.2194,0.02305,0.04135,0.7162
207,0.2144,0.0235,0.042,0.7201
208,0.21,0.0237,0.04365,0.72265
209,0.2047,0.0238,0.04435,0.72715
210,0.2003,0.0241,0.04435,0.73125
211,0.19615,0.0233,0.04625,0.7343
212,0.1918,0.0235,0.04795,0.73675
213,0.18695,0.02335,0.0488,0.7409
214,0.18315,0.0244,0.04715,0.7453
215,0.17965,0.0235,0.0478,0.74905
216,0.1747,0.0236,0.0476,0.7541
217,0.1711,0.0239,0.0488,0.7562
218,0.16825,0.0226,0.04955,0.7596
219,0.16465,0.0224,0.0496,0.76335
220,0.1621,0.02215,0.04965,0.7661
221,0.15925,0.022,0.049,0.76975
222,0.15585,0.02205,0.04805,0.77405
223,0.1524,0.02145,0.0484,0.77775
224,0.14965,0.0209,0.04865,0.7808
225,0.1474,0.01995,0.04835,0.7843
226,0.14425,0.0209,0.0476,0.78725
227,0.14215,0.02055,0.04615,0.79115
228,0.1405,0.01945,0.04625,0.7938
229,0.13995,0.018,0.04515,0.7969
230,0.13925,0.0167,0.04425,0.7998
231,0.1373,0.0171,0.04305,0.80255
232,0.13615,0.0162,0.0425,0.80515
233,0.1359,0.01515,0.04105,0.8079
234,0.13525,0.01515,0.0399,0.8097
235,0.13455,0.015,0.0391,0.81135
236,0.1349,0.0147,0.0377,0.8127
237,0.13305,0.0149,0.03755,0.8145
238,0.134,0.0145,0.03565,0.81585
239,0.13465,0.0141,0.03395,0.8173
240,0.135,0.0131,0.0331,0.8188
241,0.136,0.01235,0.03165,0.82
242,0.13665,0.01195,0.03105,0.82035
243,0.1378,0.01115,0.03045,0.8206
244,0.1389,0.0111,0.0294,0.8206
245,0.1395,0.0107,0.0284,0.8214
246,0.14075,0.0102,0.0274,0.82165
247,0.1415,0.0101,0.02735,0.82105
248,0.14315,0.0103,0.02605,0.8205
249,0.1439,0.0101,0.02555,0.82045
250,0.14425,0.01085,0.0246,0.8203
251,0.14515,0.0104,0.02425,0.8202
252,0.14675,0.01015,0.02395,0.81915
253,0.14755,0.01,0.0235,0.81895
254,0.14955,0.01035,0.02245,0.81765
255,0.1503,0.00975,0.02275,0.8172
256,0.15075,0.0102,0.02315,0.8159
257,0.15345,0.01005,0.0234,0.8131
258,0.15545,0.0099,0.023,0.81165
259,0.1562,0.0096,0.023,0.8112
260,0.158,0.00915,0.0223,0.81055
261,0.1596,0.00935,0.02205,0.809
262,0.16115,0.009,0.0218,0.80805
263,0.1625,0.0087,0.02245,0.80635
264,0.1632,0.00895,0.02175,0.8061
265,0.1639,0.00955,0.02125,0.8053
266,0.1664,0.00925,0.02015,0.8042
267,0.1681,0.01,0.01915,0.80275
268,0.17075,0.00905,0.01875,0.80145
269,0.1725,0.0087,0.01885,0.79995
270,0.1742,0.0091,0.0188,0.7979
271,0.17625,0.009,0.01875,0.796
272,0.1786,0.0078,0.0184,0.7952
273,0.18045,0.00825,0.01775,0.79355
274,0.1813,0.0083,0.0178,0.7926
275,0.184,0.00845,0.0171,0.79045
276,0.1861,0.00845,0.01695,0.7885
277,0.1878,0.0086,0.01695,0.78665
278,0.19025,0.00805,0.01695,0.78475
279,0.19205,0.008,0.01665,0.7833
280,0.19385,0.00785,0.01615,0.78215
281,0.19595,0.008,0.01605,0.78
282,0.19785,0.00865,0.01565,0.77785
283,0.19885,0.0097,0.0153,0.77615
284,0.1998,0.00965,0.01535,0.7752
285,0.20215,0.0091,0.01545,0.7733
286,0.203,0.0092,0.01605,0.77175
287,0.204,0.00865,0.0167,0.77065
288,0.20625,0.0084,0.01735,0.768
289,0.2082,0.00885,0.01655,0.7664
290,0.20965,0.0092,0.01745,0.7637
291,0.21085,0.00945,0.0177,0.762
292,0.2121,0.0092,0.0185,0.7602
293,0.21425,0.0088,0.0193,0.75765
294,0.21595,0.0095,0.01915,0.7554
295,0.21595,0.0102,0.01945,0.7544
296,0.21735,0.0106,0.0196,0.75245
297,0.21775,0.01115,0.01915,0.75195
298,0.21815,0.0112,0.01985,0.7508
299,0.2196,0.0118,0.01945,0.74915
300,0.2204,0.012,0.0202,0.7474
301,0.22075,0.01255,0.02055,0.74615
302,0.2212,0.0136,0.0214,0.7438
303,0.2219,0.0133,0.02135,0.74345
304,0.2222,0.0128,0.02195,0.74305
305,0.22355,0.01255,0.02205,0.74185
306,0.2244,0.0123,0.0226,0.7407
