step,S,E,I,R
0,0.999,0,0.001,0
1,0.99695,0.0018,0.0012,5e-05
2,0.9958,0.0024,0.00165,0.00015
3,0.9944,0.00295,0.00205,6e-04
4,0.9925,0.00405,0.00255,9e-04
5,0.9895,0.00545,0.0036,0.00145
6,0.98575,0.00795,0.0045,0.0018
7,0.98035,0.01125,0.006,0.0024
8,0.9754,0.0127,0.0081,0.0038
9,0.96835,0.0161,0.01055,0.005
10,0.95865,0.02105,0.0137,0.0066
11,0.9445,0.02875,0.01775,0.009
12,0.92725,0.0379,0.02345,0.0114
13,0.9057,0.0483,0.0304,0.0156
14,0.8793,0.06155,0.0386,0.02055
15,0.84675,0.0759,0.05065,0.0267
16,0.8075,0.09335,0.06405,0.0351
17,0.758,0.11735,0.0802,0.04445
18,0.70505,0.1387,0.099,0.05725
19,0.64005,0.16285,0.12295,0.07415
20,0.5726,0.18635,0.14775,0.0933
21,0.4988,0.20825,0.176,0.11695
22,0.4222,0.22615,0.2079,0.14375
23,0.3491,0.2333,0.2414,0.1762
24,0.28125,0.2364,0.2693,0.21305
25,0.2227,0.229,0.2951,0.2532
26,0.17465,0.2158,0.31375,0.2958
27,0.13715,0.19035,0.3293,0.3432
28,0.10725,0.16795,0.3339,0.3909
29,0.0832,0.14435,0.3324,0.44005
30,0.06755,0.1212,0.32375,0.4875
31,0.0551,0.1023,0.3108,0.5318
32,0.0465,0.0842,0.29555,0.57375
33,0.03945,0.0684,0.2778,0.61435
34,0.03385,0.05655,0.2585,0.6511
35,0.03065,0.04505,0.2391,0.6852
36,0.02835,0.03775,0.2154,0.7185
37,0.0253,0.0321,0.19705,0.74555
38,0.02395,0.0262,0.18015,0.7697
39,0.0235,0.0214,0.163,0.7921
40,0.0235,0.0169,0.14585,0.81375
41,0.02425,0.01395,0.13255,0.82925
42,0.0259,0.01265,0.1167,0.84475
43,0.0269,0.01055,0.1038,0.85875
44,0.0276,0.00975,0.0932,0.86945
45,0.02935,0.00875,0.0827,0.8792
46,0.0307,0.00865,0.07275,0.8879
47,0.03175,0.00785,0.06635,0.89405
48,0.034,0.00695,0.05835,0.9007
49,0.0358,0.00565,0.0529,0.90565
50,0.0384,0.00495,0.04715,0.9095
51,0.0405,0.00455,0.04145,0.9135
52,0.0424,0.00425,0.0378,0.91555
53,0.0449,0.00405,0.03415,0.9169
54,0.0471,0.00385,0.02985,0.9192
55,0.0494,0.0038,0.0264,0.9204
56,0.05085,0.0043,0.024,0.92085
57,0.05375,0.00395,0.02225,0.92005
58,0.05605,0.00385,0.02055,0.91955
59,0.0582,0.00325,0.01905,0.9195
60,0.06115,0.00245,0.01765,0.91875
61,0.06365,0.0022,0.01605,0.9181
62,0.0657,0.0024,0.01395,0.91795
63,0.06805,0.0027,0.01245,0.9168
64,0.0715,0.0023,0.01075,0.91545
65,0.0738,0.0024,0.01005,0.91375
66,0.0764,0.0023,0.0093,0.912
67,0.0793,0.00245,0.00775,0.9105
68,0.08215,0.0017,0.00745,0.9087
69,0.08445,0.00185,0.0065,0.9072
70,0.08775,0.00155,0.0062,0.9045
71,0.09085,0.0015,0.00585,0.9018
72,0.0941,0.00155,0.00495,0.8994
73,0.09585,0.00145,0.00465,0.89805
74,0.0987,0.00145,0.00465,0.8952
75,0.102,0.00155,0.00425,0.8922
76,0.1046,0.00125,0.00375,0.8904
77,0.10725,0.00135,0.0032,0.8882
78,0.1104,0.00095,0.0032,0.88545
79,0.11345,0.001,0.003,0.88255
80,0.1162,7e-04,0.003,0.8801
81,0.11885,0.00065,0.0025,0.878
82,0.12135,0.00065,0.0024,0.8756
83,0.1243,0.00055,0.0021,0.87305
84,0.1273,0.00065,0.00195,0.8701
85,0.12955,6e-04,0.00175,0.8681
86,0.13235,4e-04,0.00165,0.8656
87,0.1355,0.00045,0.0015,0.86255
88,0.1379,0.00045,0.0014,0.86025
89,0.14,5e-04,0.00155,0.85795
90,0.14215,0.00055,0.00135,0.85595
91,0.1453,6e-04,0.00115,0.85295
92,0.14795,0.00055,0.00125,0.85025
93,0.1504,3e-04,0.00145,0.84785
94,0.1539,0.00035,0.00145,0.8443
95,0.1567,3e-04,0.0014,0.8416
96,0.1595,0.00035,0.00135,0.8388
97,0.16195,0.00045,0.0014,0.8362
98,0.16435,0.00045,0.00135,0.83385
99,0.16725,6e-04,0.00125,0.8309
100,0.1702,6e-04,0.0013,0.8279
101,0.17315,4e-04,0.00115,0.8253
102,0.1753,0.00035,0.00115,0.8232
103,0.17765,0.00065,0.001,0.8207
104,0.18015,0.00065,0.0011,0.8181
105,0.1826,5e-04,0.00105,0.81585
106,0.1848,0.00045,0.001,0.81375
107,0.18725,5e-04,0.001,0.81125
108,0.1889,4e-04,0.0012,0.8095
109,0.19125,6e-04,0.00105,0.8071
110,0.1936,7e-04,0.0011,0.8046
111,0.19635,0.00065,0.001,0.802
112,0.19805,0.00055,0.0012,0.8002
113,0.1998,6e-04,0.00125,0.79835
114,0.20215,6e-04,0.00115,0.7961
115,0.20405,7e-04,0.00115,0.7941
116,0.20605,0.00075,0.00125,0.79195
117,0.20845,8e-04,0.0013,0.78945
118,0.2105,8e-04,0.0012,0.7875
119,0.21225,6e-04,0.00135,0.7858
120,0.21485,5e-04,0.0013,0.78335
121,0.2173,5e-04,0.00125,0.78095
122,0.2195,0.00055,0.00125,0.7787
123,0.22155,0.00045,0.0013,0.7767
124,0.2228,0.00075,0.00135,0.7751
125,0.22475,0.00105,0.0013,0.7729
126,0.22645,8e-04,0.00125,0.7715
127,0.22805,5e-04,0.00155,0.7699
128,0.22975,0.00065,0.00145,0.76815
129,0.23135,6e-04,0.0015,0.76655
130,0.2332,0.00075,0.0015,0.76455
131,0.2356,0.00085,0.00155,0.762
132,0.2371,0.00125,0.0015,0.76015
133,0.2388,0.00125,0.0013,0.75865
134,0.2412,0.00135,0.00155,0.7559
135,0.24315,0.0014,0.0017,0.75375
136,0.24525,0.0014,0.0017,0.75165
137,0.2474,0.0011,0.0019,0.7496
138,0.24925,0.00105,0.00185,0.74785
139,0.25095,0.00095,0.00185,0.74625
140,0.25295,0.00135,0.002,0.7437
141,0.25465,0.00135,0.0018,0.7422
142,0.25675,0.0012,0.0019,0.74015
143,0.2584,0.00105,0.002,0.73855
144,0.26005,0.00105,0.0019,0.737
145,0.26195,0.0012,0.00205,0.7348
146,0.26345,0.0014,0.00225,0.7329
147,0.26485,0.00125,0.0026,0.7313
148,0.2666,0.0013,0.00255,0.72955
149,0.2683,0.00115,0.0025,0.72805
150,0.2696,0.0012,0.00245,0.72675
151,0.27165,0.0013,0.0023,0.72475
152,0.2733,0.00125,0.00205,0.7234
153,0.2746,0.00135,0.00195,0.7221
154,0.27545,0.0017,0.00205,0.7208
155,0.2774,0.0015,0.00225,0.71885
156,0.2784,0.0016,0.0023,0.7177
157,0.27945,0.00195,0.00255,0.71605
158,0.28105,0.0019,0.00275,0.7143
159,0.28275,0.0017,0.00305,0.7125
160,0.28445,0.0019,0.0029,0.71075
161,0.28615,0.0021,0.003,0.70875
162,0.2875,0.00225,0.00295,0.7073
163,0.28865,0.0023,0.00315,0.7059
164,0.28985,0.0022,0.00325,0.7047
165,0.2914,0.0024,0.0032,0.703
166,0.2929,0.0022,0.0035,0.7014
167,0.29405,0.00275,0.00345,0.69975
168,0.2951,0.0026,0.00385,0.69845
169,0.2969,0.0029,0.00415,0.69605
170,0.2983,0.00315,0.00475,0.6938
171,0.2989,0.0034,0.005,0.6927
172,0.2998,0.0036,0.00545,0.69115
173,0.30105,0.0035,0.0056,0.68985
174,0.3018,0.00385,0.0057,0.68865
175,0.3023,0.0039,0.00625,0.68755
176,0.30335,0.0038,0.00605,0.6868
177,0.3041,0.00425,0.00635,0.6853
178,0.30465,0.00445,0.00625,0.68465
179,0.3061,0.0045,0.0067,0.6827
180,0.3065,0.005,0.0065,0.682
181,0.30705,0.0053,0.00695,0.6807
182,0.30765,0.0058,0.00705,0.6795
183,0.3084,0.00615,0.007,0.67845
184,0.30805,0.0063,0.0079,0.67775
185,0.30845,0.0065,0.00845,0.6766
186,0.30855,0.00745,0.0087,0.6753
187,0.3079,0.0084,0.0097,0.674
188,0.30705,0.00935,0.0104,0.6732
189,0.3063,0.00925,0.01155,0.6729
190,0.30505,0.0098,0.01225,0.6729
191,0.304,0.01055,0.01315,0.6723
192,0.3025,0.01165,0.01345,0.6724
193,0.3009,0.01175,0.0148,0.67255
194,0.29985,0.01245,0.0156,0.6721
195,0.2984,0.0126,0.0163,0.6727
196,0.29655,0.01335,0.01655,0.67355
197,0.29535,0.0131,0.0182,0.67335
198,0.29255,0.01425,0.019,0.6742
199,0.2896,0.0149,0.01985,0.67565
200,0.28705,0.01615,0.02025,0.67655
201,0.28455,0.01665,0.021,0.6778
202,0.2827,0.0165,0.0223,0.6785
