Comparison,Z,P.unadj,P.adj
C++ - Cormas,8.98419339537334,2.60639013318193e-19,2.73670963984102e-18
C++ - GAMA,5.89276595276186,3.79784148641707e-09,1.13935244592512e-08
Cormas - GAMA,-3.09142744261149,0.00199196658163328,0.00298794987244991
C++ - Julia,2.50696782222857,0.0121771796603805,0.0159825483042495
Cormas - Julia,-6.47722557314478,9.34244753286666e-11,3.26985663650333e-10
GAMA - Julia,-3.38579813053329,0.000709715711801545,0.00114646384214096
C++ - Netlogo,4.19719079033229,2.70246258362878e-05,5.15924675056403e-05
Cormas - Netlogo,-4.78700260504106,1.69290637510351e-06,3.55510338771737e-06
GAMA - Netlogo,-1.69557516242957,0.0899663648194667,0.0994365084846737
Julia - Netlogo,1.69022296810372,0.0909853058504368,0.0955345711429586
C++ - PythonPDEVS,10.9848436343764,4.52020670851895e-28,9.49243408788979e-27
Cormas - PythonPDEVS,2.00065023900307,0.0454300954729589,0.0530017780517854
GAMA - PythonPDEVS,5.09207768161456,3.54160933567646e-07,8.26375511657841e-07
Julia - PythonPDEVS,8.47787581214785,2.29342574473753e-17,1.60539802131627e-16
Netlogo - PythonPDEVS,6.78765284404413,1.13972490158798e-11,4.7868445866695e-11
C++ - Python,7.89662750836044,2.86551097519286e-15,1.50439326197625e-14
Cormas - Python,-1.08756588701291,0.276786797177117,0.276786797177117
GAMA - Python,2.00386155559858,0.0450848927360802,0.0556931027916285
Julia - Python,5.38965968613187,7.05912308972509e-08,1.85301981105284e-07
Netlogo - Python,3.69943671802815,0.000216078508088038,0.000378137389154067
PythonPDEVS - Python,-3.08821612601598,0.00201361969561321,0.0028190675738585
