.y.,group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif
peak_count,C++,Cormas,-1281.3,-1343.7186755356,-1218.88132446441,6.81e-12,****
peak_count,C++,GAMA,-528.366666666667,-584.304542112643,-472.428791220691,1.49e-11,****
peak_count,C++,Julia,405.333333333333,345.217054290393,465.449612376273,1.11e-11,****
peak_count,C++,Netlogo,-737.866666666667,-789.280274719959,-686.453058613375,7.58e-12,****
peak_count,C++,PythonPDEVS,-1064.8,-1126.38010461271,-1003.21989538729,8.51e-12,****
peak_count,C++,Python,-535.533333333334,-598.579712104044,-472.486954562624,5.54e-12,****
peak_count,Cormas,GAMA,752.933333333333,690.496047156992,815.370619509675,6.85e-12,****
peak_count,Cormas,Julia,1686.63333333333,1620.53043900325,1752.73622766342,1.41e-11,****
peak_count,Cormas,Netlogo,543.433333333333,484.880144407665,601.986522259002,0,****
peak_count,Cormas,PythonPDEVS,216.5,149.097110368484,283.902889631516,1.62e-11,****
peak_count,Cormas,Python,745.766666666667,677.054086791288,814.479246542045,1.48e-11,****
peak_count,GAMA,Julia,933.7,873.564194755885,993.835805244114,1.12e-11,****
peak_count,GAMA,Netlogo,-209.5,-260.937463562003,-158.062536437997,7.52e-12,****
peak_count,GAMA,PythonPDEVS,-536.433333333333,-598.032372759721,-474.834293906946,8.55e-12,****
peak_count,GAMA,Python,-7.16666666666697,-70.2314200474969,55.8980867141629,1,ns
peak_count,Julia,Netlogo,-1143.2,-1199.24613956704,-1087.15386043296,0,****
peak_count,Julia,PythonPDEVS,-1470.13333333333,-1535.45784694336,-1404.80881972331,1.46e-11,****
peak_count,Julia,Python,-940.866666666667,-1007.55331285054,-874.180020482793,1.36e-11,****
peak_count,Netlogo,PythonPDEVS,-326.933333333333,-384.575773104423,-269.290893562243,0,****
peak_count,Netlogo,Python,202.333333333333,143.100078114129,261.566588552537,0,****
peak_count,PythonPDEVS,Python,529.266666666667,461.294281964289,597.239051369044,1.46e-11,****
