platform,simu,peak_frac,peak_day,peak_count,lateI,noreinf
C++,C++_1,0.3867,38,7734,0.0407178247734139,FALSE
C++,C++_10,0.3939,38,7878,0.0415590634441088,FALSE
C++,C++_11,0.38665,39,7733,0.0410273413897281,FALSE
C++,C++_12,0.3921,38,7842,0.0404134441087613,FALSE
C++,C++_13,0.38635,39,7727,0.0402827794561934,FALSE
C++,C++_14,0.39805,39,7961,0.0411377643504532,FALSE
C++,C++_15,0.39185,39,7837,0.0414173716012085,FALSE
C++,C++_16,0.39055,39,7811,0.0406688821752266,FALSE
C++,C++_17,0.38705,40,7741,0.0403333836858006,FALSE
C++,C++_18,0.3945,37,7890,0.0412519637462236,FALSE
C++,C++_19,0.3859,39,7718,0.0405039274924472,FALSE
C++,C++_2,0.3898,39,7796,0.0402216012084592,FALSE
C++,C++_20,0.3921,38,7842,0.0402206948640483,FALSE
C++,C++_21,0.388,41,7760,0.0410649546827795,FALSE
C++,C++_22,0.3918,37,7836,0.0409870090634441,FALSE
C++,C++_23,0.38735,39,7747,0.0405746223564955,FALSE
C++,C++_24,0.3839,38,7678,0.0396060422960725,FALSE
C++,C++_25,0.39625,38,7925,0.0408409365558913,FALSE
C++,C++_26,0.38865,37,7773,0.0399466767371601,FALSE
C++,C++_27,0.3885,40,7770,0.039947583081571,FALSE
C++,C++_28,0.3921,38,7842,0.0408368580060423,FALSE
C++,C++_29,0.383,38,7660,0.0406681268882176,FALSE
C++,C++_3,0.38955,38,7791,0.0402395770392749,FALSE
C++,C++_30,0.38855,40,7771,0.0413058912386707,FALSE
C++,C++_4,0.39025,38,7805,0.0410909365558912,FALSE
C++,C++_5,0.39285,37,7857,0.0401962235649547,FALSE
C++,C++_6,0.38765,38,7753,0.0408176737160121,FALSE
C++,C++_7,0.38525,38,7705,0.0411528700906344,FALSE
C++,C++_8,0.39225,39,7845,0.0405759818731118,FALSE
C++,C++_9,0.391,39,7820,0.0408283987915408,FALSE
Cormas,CORMAS_1,0.32875,31,6575,0.0301043806646526,FALSE
Cormas,CORMAS_10,0.3223,33,6446,0.0295309667673716,FALSE
Cormas,CORMAS_11,0.3311,29,6622,0.030288670694864,FALSE
Cormas,CORMAS_12,0.3201,31,6402,0.0293250755287009,FALSE
Cormas,CORMAS_13,0.32595,30,6519,0.0307735649546828,FALSE
Cormas,CORMAS_14,0.3251,29,6502,0.0296229607250755,FALSE
Cormas,CORMAS_15,0.3266,30,6532,0.0304959214501511,FALSE
Cormas,CORMAS_16,0.32,31,6400,0.0293197885196375,FALSE
Cormas,CORMAS_17,0.32685,32,6537,0.029959667673716,FALSE
Cormas,CORMAS_18,0.3155,29,6310,0.0291646525679758,FALSE
Cormas,CORMAS_19,0.33045,30,6609,0,TRUE
Cormas,CORMAS_2,0.31735,31,6347,0.0290206948640484,FALSE
Cormas,CORMAS_20,0.3252,33,6504,0.0296404833836858,FALSE
Cormas,CORMAS_21,0.3237,30,6474,0.0310320241691843,FALSE
Cormas,CORMAS_22,0.32705,32,6541,0.0309027190332326,FALSE
Cormas,CORMAS_23,0.3218,30,6436,0.0291315709969789,FALSE
Cormas,CORMAS_24,0.3311,30,6622,0,TRUE
Cormas,CORMAS_25,0.33355,29,6671,0.0305719033232629,FALSE
Cormas,CORMAS_26,0.32195,32,6439,0.0300613293051359,FALSE
Cormas,CORMAS_27,0.32605,30,6521,0.0300625377643505,FALSE
Cormas,CORMAS_28,0.3246,30,6492,0.0299658610271903,FALSE
Cormas,CORMAS_29,0.32985,30,6597,0.0301016616314199,FALSE
Cormas,CORMAS_3,0.3282,31,6564,0,TRUE
Cormas,CORMAS_30,0.32275,29,6455,0.0296829305135952,FALSE
Cormas,CORMAS_4,0.33015,31,6603,0.0302672205438066,FALSE
