pair,diff,lwr,upr,p adj
Cormas-C++,-1281.3,-1341.1627113103,-1221.4372886897,0
GAMA-C++,-528.366666666669,-588.229377976972,-468.503955356366,0
Julia-C++,405.333333333329,345.470622023027,465.196044643632,0
Netlogo-C++,-737.866666666668,-797.729377976971,-678.003955356365,0
DSDEVS-C++,-1064.8,-1124.66271131031,-1004.9372886897,0
Python-C++,-535.533333333335,-595.396044643638,-475.670622023032,0
GAMA-Cormas,752.93333333333,693.070622023027,812.796044643633,0
Julia-Cormas,1686.63333333333,1626.77062202303,1746.49604464363,0
Netlogo-Cormas,543.433333333331,483.570622023028,603.296044643634,0
DSDEVS-Cormas,216.499999999995,156.637288689693,276.362711310298,4.44089209850063e-16
Python-Cormas,745.766666666664,685.903955356361,805.629377976967,0
Julia-GAMA,933.699999999998,873.837288689695,993.562711310301,0
Netlogo-GAMA,-209.499999999999,-269.362711310302,-149.637288689696,1.31006316905768e-14
DSDEVS-GAMA,-536.433333333334,-596.296044643637,-476.570622023032,0
Python-GAMA,-7.16666666666606,-67.0293779769689,52.6960446436368,0.999833999044711
Netlogo-Julia,-1143.2,-1203.0627113103,-1083.33728868969,0
DSDEVS-Julia,-1470.13333333333,-1529.99604464364,-1410.27062202303,0
Python-Julia,-940.866666666664,-1000.72937797697,-881.003955356361,0
DSDEVS-Netlogo,-326.933333333335,-386.796044643638,-267.070622023032,0
Python-Netlogo,202.333333333333,142.47062202303,262.196044643636,1.70974345792274e-14
Python-DSDEVS,529.266666666668,469.403955356365,589.129377976971,0
